id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,accommodate,verb,đáp ứng; cung cấp chỗ ở,/əˈkɒmədeɪt/,Đáp ứng nhu cầu hoặc cung cấp chỗ ở.,The hotel can accommodate 200 guests.,Khách sạn có thể đáp ứng 200 khách.,,,medium,B2,600,50,"['house', 'suit']","['reject', 'refuse']","['accommodation', 'accommodating']","['accommodate requests', 'accommodate guests']",[],accommodate + N,,Dùng trong khách sạn và dịch vụ.,Travel & Transportation,,,Accommodate = làm cho phù hợp với nhu cầu.,True,3,,
,accompany,verb,đi cùng; hộ tống,/əˈkʌmpəni/,Đi cùng với ai đó.,The manager will accompany the delegation.,Giám đốc sẽ hộ tống phái đoàn.,,,medium,B1,500,55,"['escort', 'attend']","['leave', 'abandon']","['accompaniment', 'accompanying']","['accompany someone', 'be accompanied by']",[],accompany + N,,Dùng khi đi cùng đối tác.,General Business Operations,,,Accompany = đi cùng ai đó.,True,2,,
,accomplish,verb,hoàn thành; đạt được,/əˈkʌmplɪʃ/,Hoàn thành thành công một mục tiêu.,We accomplished the sales target.,Chúng ta hoàn thành mục tiêu doanh số.,,,medium,B2,600,45,"['achieve', 'complete', 'fulfill']","['fail', 'abandon']","['accomplishment', 'accomplished']","['accomplish a goal', 'accomplish a task']",[],accomplish + N,,Dùng khi nói về hoàn thành mục tiêu.,General Business Operations,,,Accomplish = làm xong và làm tốt.,True,3,,
,accomplishment,noun,thành tựu,/əˈkʌmplɪʃmənt/,Điều gì đó đã đạt được thành công.,Her promotion was a significant accomplishment.,Việc thăng chức là một thành tựu đáng kể.,,,medium,B2,600,40,"['achievement', 'success', 'attainment']","['failure', 'setback']","['accomplish', 'accomplished']","['sense of accomplishment', 'great accomplishment']",[],Common usage,,Dùng trong HR và phát triển sự nghiệp.,Personnel & Human Resources,,,Accomplishment = cái đã làm được thành công.,True,3,,
,accountant,noun,kế toán viên,/əˈkaʊntənt/,Người chuyên nghiệp chuẩn bị hồ sơ tài chính.,The accountant reviewed the financial reports.,Kế toán viên xem xét các báo cáo tài chính.,,,easy,A2,500,65,"['bookkeeper', 'auditor']",[],"['account', 'accounting']","['certified accountant', 'tax accountant']",[],Common usage,,Nghề nghiệp trong tài chính.,Finance & Banking,,,Accountant = người quản lý tài khoản.,True,2,,
,accounting,noun,kế toán,/əˈkaʊntɪŋ/,Quá trình ghi chép và báo cáo tài chính.,Proper accounting is essential for business.,Kế toán đúng cách là thiết yếu cho kinh doanh.,,,easy,A2,500,60,['bookkeeping'],[],"['account', 'accountant']","['accounting department', 'accounting software']",[],Common usage,,Lĩnh vực tài chính doanh nghiệp.,Finance & Banking,,,Accounting = việc ghi chép tiền bạc.,True,2,,
,accumulate,verb,tích lũy; gom góp,/əˈkjuːmjəleɪt/,Tích lũy hoặc thu thập dần dần.,The company accumulated significant capital.,Công ty tích lũy vốn đáng kể.,,,medium,B2,600,45,"['gather', 'collect', 'build up']","['distribute', 'deplete']","['accumulation', 'accumulative']","['accumulate wealth', 'accumulate data']",[],accumulate + N,Phát âm thường có vấn đề: /əˈkjuːmjəleɪt/.,Dùng trong tài chính khi nói về tích lũy.,Finance & Banking,,,Accumulate = gom dần dần.,True,3,,
,accurately,adverb,chính xác,/ˈækjərətli/,"Một cách chính xác, không có sai sót.",The data was accurately recorded.,Dữ liệu được ghi chép chính xác.,,,medium,B1,500,55,"['precisely', 'correctly', 'exactly']","['inaccurately', 'incorrectly']","['accurate', 'accuracy']","['report accurately', 'measure accurately']",[],Common usage,,Quan trọng trong báo cáo và phân tích.,General Business Operations,,,Accurately = làm đúng y như cần.,True,2,,
,accustom to,phrase,làm quen với,/əˈkʌstəm tuː/,Làm cho ai đó trở nên quen với cái gì đó.,Employees need time to accustom to the new system.,Nhân viên cần thời gian để làm quen với hệ thống mới.,,,medium,B2,600,20,"['get used to', 'become familiar with']",[],"['custom', 'accustomed']","['accustom to changes', 'accustom to new environment']",[],accustom to + N/V-ing,,"Trang trọng, văn nói thường dùng 'get used to'.",General Business Operations,,,Accustom to = làm cho trở nên quen thuộc.,False,3,,
,achievement,noun,thành tựu,/əˈtʃiːvmənt/,Một điều đã đạt được thành công.,The project was a significant achievement.,Dự án là một thành tựu đáng kể.,,,medium,B2,600,45,"['accomplishment', 'success', 'attainment']","['failure', 'setback']","['achieve', 'achievable']","['great achievement', 'significant achievement']",[],Common usage,,Dùng trong HR và phát triển sự nghiệp.,Personnel & Human Resources,,,Achievement = cái đã đạt được sau nỗ lực.,True,3,,
,acknowledge,verb,thừa nhận; công nhận,/əkˈnɒlɪdʒ/,Chấp nhận sự tồn tại hoặc thật của cái gì đó.,The manager acknowledged the team's contribution.,Giám đốc công nhận đóng góp của đội.,,,medium,B2,600,50,"['recognize', 'admit', 'confirm']","['deny', 'reject', 'ignore']","['acknowledgment', 'acknowledged']","['acknowledge receipt', 'acknowledge contribution']",[],acknowledge + N/V-ing,,Dùng khi xác nhận hoặc công nhận.,General Business Operations,,,Acknowledge = nói rằng mình biết hoặc nhận.,True,3,,
,acquire,verb,thu được; mua lại,/əˈkwaɪə(r)/,Có được hoặc mua lại tài sản hoặc công ty.,The company plans to acquire a competitor.,Công ty dự định mua lại một đối thủ.,,,medium,B2,700,45,"['obtain', 'gain', 'purchase']","['lose', 'sell', 'divest']","['acquisition', 'acquired']","['acquire a company', 'acquire skills']",[],acquire + N,,Thường dùng trong M&A.,Finance & Banking,,,Acquire = có được cái gì đó.,True,4,,
,acquisition,noun,sự mua lại,/ˌækwɪˈzɪʃn/,Hành động có được hoặc mua lại.,The acquisition cost millions of dollars.,Việc mua lại tốn hàng triệu đô la.,,,medium,B2,700,40,"['purchase', 'takeover']","['disposal', 'sale']","['acquire', 'acquired']","['make an acquisition', 'acquisition cost']",[],Common usage,,Thuật ngữ quan trọng trong tài chính.,Finance & Banking,,,Acquisition = việc mua lại.,True,4,,
,action,noun,hành động,/ˈækʃn/,Việc làm một cái gì đó.,Immediate action is required.,Cần hành động ngay lập tức.,,,easy,A1,400,98,"['act', 'step', 'measure']","['inaction', 'inactivity']","['act', 'active']","['take action', 'immediate action']",[],take action,,Từ cơ bản trong kinh doanh.,General Business Operations,,,Action = làm cái gì đó.,True,1,,
,activate,verb,kích hoạt,/ˈæktɪveɪt/,Làm cho một cái gì đó trở nên hoạt động.,Please activate your account.,Vui lòng kích hoạt tài khoản của bạn.,,,medium,B1,500,45,"['enable', 'start', 'initiate']","['deactivate', 'disable']","['active', 'activation']","['activate account', 'activate system']",[],activate + N,,Thường dùng trong IT.,Technical Areas & IT,,,Activate = bật lên hoặc làm cho hoạt động.,True,2,,
,adapt,verb,thích nghi; điều chỉnh,/əˈdæpt/,Thay đổi để phù hợp với điều kiện mới.,Businesses must adapt to market changes.,Doanh nghiệp phải thích nghi với thay đổi thị trường.,,,medium,B2,600,55,"['adjust', 'modify', 'accommodate']","['resist', 'reject']","['adaptation', 'adaptable']","['adapt to changes', 'adapt to new environment']",[],adapt to + N,Thường nhầm với 'adopt' (chấp nhận) - hai từ phát âm giống nhau.,Quan trọng trong quản lý thay đổi.,General Business Operations,,,Adapt = thay đổi để phù hợp.,True,3,,
,address,verb,giải quyết; xử lý,/əˈdres/,Đối phó với một vấn đề.,We need to address this issue.,Chúng ta cần giải quyết vấn đề này.,,,medium,B1,500,65,"['deal with', 'handle', 'tackle']","['ignore', 'avoid']","['addressed', 'addressing']","['address an issue', 'address a problem']",[],address + N,,Dùng khi giải quyết vấn đề.,General Business Operations,,,Address = giải quyết vấn đề.,True,2,,
,adequate,adjective,đủ; thích đáng,/ˈædɪkwət/,Đủ cho một mục đích cụ thể.,The company provides adequate training.,Công ty cung cấp đào tạo thỏa đáng.,,,medium,B1,500,50,"['sufficient', 'enough', 'satisfactory']","['inadequate', 'insufficient']","['adequacy', 'adequately']","['adequate resources', 'adequate time']",[],Common usage,Phát âm thường có vấn đề: /ˈædɪkwət/.,Dùng khi đánh giá nguồn lực.,General Business Operations,,,Adequate = đủ dùng.,True,2,,
,adhere to,phrasal verb,tuân thủ; bám sát,/ədˈhɪə(r) tuː/,Tuân thủ hoặc làm theo quy tắc.,All staff must adhere to safety guidelines.,Tất cả nhân viên phải tuân thủ hướng dẫn an toàn.,,,medium,B2,600,35,"['comply with', 'follow', 'stick to']","['violate', 'disregard']",[],"['adhere to the rules', 'adhere to the schedule']",[],adhere to + N,,Trang trọng hơn 'follow'.,General Business Operations,,,Adhere to = bám vào và làm theo.,True,3,,
,adjacent,adjective,kề bên; liền kề,/əˈdʒeɪsns/,Nằm ngay cạnh hoặc gần một cái gì đó.,The warehouse is adjacent to the factory.,Kho hàng nằm liền kề nhà máy.,,,medium,B2,600,30,"['next to', 'neighboring', 'adjoining']","['distant', 'remote']",['adjacency'],"['adjacent to', 'adjacent room']",[],adjacent to + N,,Dùng trong bất động sản và logistics.,Housing & Real Estate,,,Adjacent = ngay bên cạnh.,True,3,,
,adjourn,verb,hoãn; nghỉ,/əˈdʒɜːn/,Tạm dừng một cuộc họp.,The meeting was adjourned until Monday.,Cuộc họp được hoãn đến thứ Hai.,,,medium,B2,700,20,"['postpone', 'suspend', 'defer']","['resume', 'continue']",['adjournment'],"['adjourn the meeting', 'adjourn the session']",[],adjourn + N,,"Trang trọng, dùng trong cuộc họp chính thức.",General Business Operations,,,Adjourn = nghỉ cuộc họp tạm thời.,False,4,,
,adjustment,noun,sự điều chỉnh,/əˈdʒʌstmənt/,Một sự thay đổi nhỏ.,We need to make adjustments to the budget.,Chúng ta cần thực hiện điều chỉnh ngân sách.,,,medium,B1,500,45,"['modification', 'alteration', 'change']",[],"['adjust', 'adjustable']","['make adjustments', 'price adjustment']",[],make adjustments to + N,,Dùng trong tài chính và dự án.,Finance & Banking,,,Adjustment = sự sửa đổi nhỏ.,True,2,,
,administer,verb,quản lý; điều hành,/ədˈmɪnɪstə(r)/,Quản lý hoặc điều hành một tổ chức.,The department administers the training program.,Phòng ban quản lý chương trình đào tạo.,,,medium,B2,600,35,"['manage', 'oversee', 'supervise']","['neglect', 'ignore']","['administration', 'administrative']","['administer a program', 'administer funds']",[],administer + N,,Dùng trong quản lý và hành chính.,General Business Operations,,,Administer = quản lý hoặc điều hành.,True,3,,
,admire,verb,ngưỡng mộ,/ədˈmaɪə(r)/,Cảm thấy ngưỡng mộ ai đó.,I admire her dedication to the project.,Tôi ngưỡng mộ sự tận tâm của cô ấy với dự án.,,,easy,A2,500,55,"['respect', 'appreciate', 'esteem']","['despise', 'dislike']","['admiration', 'admirable']","['admire someone', 'greatly admire']",[],admire + N,,Dùng trong giao tiếp công sở.,Personnel & Human Resources,,,Admire = nhìn ai đó với sự tôn trọng.,True,2,,
,admit,verb,thừa nhận; cho vào,/ədˈmɪt/,Thừa nhận một cái gì đó là đúng.,The manager admitted the mistake.,Giám đốc thừa nhận sai lầm.,,,easy,A2,500,60,"['acknowledge', 'confess', 'concede']","['deny', 'reject']","['admission', 'admissible']","['admit mistake', 'admit fault']",[],admit + N/V-ing,,Dùng khi thừa nhận sai lầm.,General Business Operations,,,Admit = nói đúng hoặc cho vào.,True,2,,
,adopt,verb,thông qua; chấp nhận,/əˈdɒpt/,Chấp nhận hoặc bắt đầu sử dụng phương pháp mới.,The board adopted the new strategy.,Hội đồng thông qua chiến lược mới.,,,medium,B2,600,45,"['accept', 'implement', 'embrace']","['reject', 'abandon']","['adoption', 'adoptive']","['adopt a policy', 'adopt a method']",[],adopt + N,Thường nhầm với 'adapt' (thích nghi) - hai từ phát âm giống nhau.,Dùng khi thông qua chính sách.,General Business Operations,,,Adopt = chấp nhận và bắt đầu dùng.,True,3,,
,advanced,adjective,nâng cao; tiên tiến,/ədˈvɑːnst/,Có trình độ cao hoặc công nghệ hiện đại.,The company uses advanced technology.,Công ty sử dụng công nghệ tiên tiến.,,,medium,B2,600,50,"['sophisticated', 'progressive', 'high-level']","['basic', 'elementary']","['advance', 'advancement']","['advanced technology', 'advanced skills']",[],Common usage,,Dùng để mô tả công nghệ hoặc trình độ cao.,Technical Areas & IT,,,Advanced = cao cấp hoặc hiện đại.,True,3,,
,advisory,adjective,tư vấn,/ədˈvaɪzəri/,Cung cấp lời khuyên.,The company established an advisory board.,Công ty thành lập hội đồng tư vấn.,,,medium,B2,700,25,"['consultative', 'counseling']","['mandatory', 'compulsory']","['advise', 'advisor']","['advisory board', 'advisory committee']",[],Common usage,,Dùng trong quản trị khi nói về cơ quan tư vấn.,General Business Operations,,,Advisory = chỉ đưa lời khuyên.,False,4,,
,advocate,verb,ủng hộ; cổ vũ,/ˈædvəkeɪt/,Ủng hộ công khai một nguyên nhân.,The CEO advocates for sustainable practices.,CEO ủng hộ các thực hành bền vững.,,,medium,B2,700,30,"['support', 'promote', 'champion']","['oppose', 'criticize']","['advocacy', 'advocation']","['advocate for', 'advocate change']",[],advocate for + N,,Dùng trong lãnh đạo và CSR.,General Business Operations,,,Advocate = nói chuyện ủng hộ cái gì đó.,True,4,,
,affiliate,verb,liên kết,/əˈfɪlieɪt/,Kết nối chính thức với tổ chức lớn hơn.,Our company is affiliated with international partners.,Công ty chúng tôi liên kết với đối tác quốc tế.,,,medium,B2,700,25,"['associate', 'connect', 'link']","['separate', 'detach']","['affiliation', 'affiliated']","['affiliate with', 'affiliate company']",[],affiliate with + N,,Dùng trong mô hình kinh doanh.,Sales & Marketing,,,Affiliate = liên kết chính thức.,False,4,,
,affordable,adjective,giá cả phải chăng,/əˈfɔːdəbl/,Giá hợp lý hoặc có đủ tiền để mua.,The company offers affordable products.,Công ty cung cấp sản phẩm giá cả phải chăng.,,,easy,B1,500,55,"['reasonable', 'inexpensive', 'economical']","['expensive', 'costly']","['afford', 'affordability']","['affordable price', 'affordable housing']",[],Common usage,,Dùng trong marketing khi nói về giá.,Sales & Marketing,,,Affordable = giá hợp lý.,True,2,,
,agenda,noun,chương trình nghị sự,/əˈdʒendə/,Danh sách các vấn đề cần thảo luận.,The first item on the agenda is the budget.,Mục đầu tiên trong chương trình nghị sự là ngân sách.,,,easy,B1,500,60,"['schedule', 'program', 'timetable']",[],[],"['set the agenda', 'agenda item']",[],on the agenda,,Từ cơ bản trong tổ chức cuộc họp.,General Business Operations,,,Agenda = danh sách những gì sẽ làm.,True,2,,
,agent,noun,đại lý; đại diện,/ˈeɪdʒənt/,Người hành động thay mặt cho tổ chức.,Our shipping agent handles customs procedures.,Đại lý vận chuyển của chúng tôi xử lý thủ tục hải quan.,,,easy,A2,500,65,"['representative', 'broker', 'intermediary']",['principal'],['agency'],"['real estate agent', 'travel agent', 'shipping agent']",[],Common usage,,Dùng trong bán hàng và vận chuyển.,Sales & Marketing,,,Agent = người làm việc cho người khác.,True,2,,
,aggressively,adverb,một cách quyết liệt,/əˈɡresɪvli/,Một cách mạnh mẽ và quyết tâm.,The company is aggressively expanding.,Công ty đang mở rộng quyết liệt.,,,medium,B2,600,35,"['forcefully', 'vigorously', 'boldly']","['passively', 'timidly']","['aggressive', 'aggression']","['aggressively pursue', 'aggressively market']",[],Common usage,,Dùng trong chiến lược kinh doanh.,Sales & Marketing,,,Aggressively = làm mạnh mẽ.,True,3,,
,agreement,noun,thỏa thuận,/əˈɡriːmənt/,Một quyết định hoặc thỏa thuận chính thức.,Both parties signed the agreement.,Cả hai bên ký thỏa thuận.,,,easy,A2,500,75,"['contract', 'deal', 'understanding']","['disagreement', 'dispute']","['agree', 'agreeable']","['reach an agreement', 'sign an agreement']",[],reach/sign + an agreement,,Từ cơ bản trong kinh doanh.,General Business Operations,,,Agreement = văn bản hoặc sự đồng ý.,True,1,,
,align,verb,sắp xếp; điều chỉnh,/əˈlaɪn/,Sắp xếp thẳng hàng hoặc điều chỉnh để phù hợp.,We need to align our strategy with goals.,Chúng ta cần liên kết chiến lược với mục tiêu.,,,medium,B2,600,40,"['coordinate', 'adjust', 'arrange']","['misalign', 'disarrange']","['alignment', 'aligned']","['align with', 'align objectives']",[],align with + N,,Quan trọng trong chiến lược.,General Business Operations,,,Align = sắp xếp cho phù hợp.,True,3,,
,allocate,verb,phân bổ; phân chia,/ˈæləkeɪt/,Phân chia nguồn lực cho mục đích cụ thể.,The manager allocated budget for the project.,Giám đốc phân bổ ngân sách cho dự án.,,,medium,B2,600,45,"['assign', 'distribute', 'allot']","['withhold', 'keep']","['allocation', 'allocated']","['allocate resources', 'allocate budget']",[],allocate + N + for/to + N,,Quan trọng trong quản lý tài nguyên.,Finance & Banking,,,Allocate = chia cái gì đó cho các mục đích.,True,3,,
,allow,verb,cho phép; chấp nhận,/əˈlaʊ/,Cho phép ai đó làm cái gì đó.,The policy allows flexible working hours.,Chính sách cho phép giờ làm việc linh hoạt.,,,easy,A1,400,95,"['permit', 'authorize', 'enable']","['forbid', 'prohibit', 'prevent']","['allowance', 'allowable']","['allow someone to do', 'allow for']",[],allow + N + to + V,,Động từ cơ bản trong chính sách.,General Business Operations,,,Allow = nói 'có' cho ai đó làm gì.,True,1,,
,alternate,verb,thay thế luân phiên,/ˈɔːltəneɪt/,Thay đổi luân phiên giữa hai hoặc nhiều thứ.,The team alternates between remote and office work.,Đội luân phiên giữa làm việc từ xa và tại văn phòng.,,,medium,B2,600,30,"['rotate', 'switch', 'take turns']","['continue', 'persist']","['alternation', 'alternative']","['alternate between', 'alternate days']",[],alternate between + N,,Dùng trong lịch trình làm việc.,General Business Operations,,,Alternate = thay đổi luân phiên.,True,3,,
,alternative,noun,sự lựa chọn thay thế,/ɔːlˈtɜːnətɪv/,Một sự lựa chọn khác có thể được sử dụng.,We need to consider alternative suppliers.,Chúng ta cần xem xét các nhà cung cấp thay thế.,,,medium,B1,500,55,"['option', 'choice', 'substitute']",[],"['alternate', 'alternation']","['alternative option', 'no alternative']",[],Common usage,,Dùng khi đưa ra các lựa chọn.,General Business Operations,,,Alternative = lựa chọn khác.,True,2,,
,amend,verb,sửa đổi; điều chỉnh,/əˈmend/,Thay đổi hoặc cải thiện một văn bản.,The committee amended the proposal.,Ủy ban sửa đổi đề xuất.,,,medium,B2,700,25,"['modify', 'revise', 'change']",[],"['amendment', 'amended']","['amend a document', 'amend the law']",[],amend + N,,"Trang trọng, dùng trong pháp lý.",General Business Operations,,,Amend = sửa đổi văn bản.,False,4,,
,amendment,noun,sự sửa đổi,/əˈmendmənt/,Một sự thay đổi nhỏ trong văn bản.,The contract includes an amendment.,Hợp đồng bao gồm một điều khoản sửa đổi.,,,medium,B2,700,20,"['modification', 'revision', 'change']",[],"['amend', 'amended']","['propose an amendment', 'make amendments']",[],Common usage,,Dùng trong pháp lý và hợp đồng.,General Business Operations,,,Amendment = phần đã được sửa đổi.,False,4,,
,announcement,noun,thông báo,/əˈnaʊnsmənt/,Một thông báo chính thức.,The company made an announcement about the merger.,Công ty đưa ra thông báo về vụ sáp nhập.,,,easy,A2,500,60,"['declaration', 'statement', 'notice']",[],"['announce', 'announcer']","['make an announcement', 'public announcement']",[],make an announcement,,Dùng trong truyền thông nội bộ.,General Business Operations,,,Announcement = thông báo chính thức.,True,2,,
,annual,adjective,hàng năm,/ˈænjuəl/,Xảy ra mỗi năm một lần.,The annual report shows growth.,Báo cáo hàng năm thu được sự tăng trưởng.,,,easy,A2,500,65,"['yearly', 'once a year']","['monthly', 'quarterly']","['annually', 'annuity']","['annual report', 'annual meeting', 'annual revenue']",[],Common usage,,Từ cơ bản trong báo cáo tài chính.,Finance & Banking,,,Annual = hàng năm.,True,2,,
,annually,adverb,mỗi năm,/ˈænjuəli/,Mỗi năm một lần.,The conference is held annually.,Hội nghị được tổ chức hàng năm.,,,easy,A2,500,55,"['yearly', 'once a year']","['monthly', 'daily']","['annual', 'annuity']","['meet annually', 'paid annually']",[],Common usage,,Dùng để mô tả tần suất hàng năm.,General Business Operations,,,Annually = làm mỗi năm một lần.,True,2,,
,anonymous,adjective,ẩn danh,/əˈnɒnɪməs/,Không có tên hoặc không được biết đến tên.,The donor wished to remain anonymous.,Người tặng mong muốn giữ ẩn danh.,,,medium,B2,600,30,"['unnamed', 'unidentified']","['named', 'identified']","['anonymity', 'anonymously']","['anonymous donor', 'anonymous source']",[],Common usage,,Dùng trong bảo mật và khảo sát.,General Business Operations,,,Anonymous = không biết tên ai.,True,3,,
,anticipate,verb,dự đoán; mong đợi,/ænˈtɪsɪpeɪt/,Dự đoán hoặc mong đợi một cái gì đó sẽ xảy ra.,We anticipate a 10% increase in sales.,Chúng tôi dự đoán doanh số tăng 10%.,,,medium,B2,600,45,"['expect', 'predict', 'forecast']","['unexpected', 'surprise']","['anticipation', 'anticipatory']","['anticipate problems', 'anticipate demand']",[],anticipate + N/V-ing,,Quan trọng trong lập kế hoạch.,General Business Operations,,,Anticipate = đoán trước và chuẩn bị.,True,3,,
,anxious,adjective,lo lắng; bồn chồn,/ˈæŋkʃəs/,Cảm thấy lo lắng về một cái gì đó.,Investors are anxious about market volatility.,Nhà đầu tư lo lắng về sự biến động thị trường.,,,medium,B1,500,40,"['worried', 'concerned', 'nervous']","['calm', 'relaxed', 'confident']","['anxiety', 'anxiously']","['anxious about', 'feel anxious']",[],anxious about + N,,Dùng trong giao tiếp.,General Business Operations,,,"Anxious = lo lắng, bồn chồn.",True,2,,
,appeal,verb,kháng cáo; kêu gọi,/əˈpiːl/,Yêu cầu xem xét lại quyết định.,The company decided to appeal the decision.,Công ty quyết định kháng cáo quyết định.,,,medium,B2,600,40,"['challenge', 'petition', 'request']","['accept', 'ignore']","['appealing', 'appellant']","['appeal a decision', 'file an appeal']",[],appeal + N,,Có nghĩa pháp lý (kháng cáo).,General Business Operations,,,Appeal = yêu cầu xem xét lại.,True,3,,
