id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,topic,topic_url,created_at
14,circumstance,n.,"Trường hợp, hoàn cảnh, tình huống",/'sə:kəmstəns/,"the conditions and facts that are connected with and affect a situation, an event, or an action","Under the current economic circumstances, they will not be able to purchase the property.","Trong tình cảnh kinh tế hiện tại, họ không có khả năng mua sắm tài sản.",https://audio.tflat.vn/data/cache/images/300x225/c/i/circumstance2.png,https://audio.tflat.vn/audio/c/i/circumstance.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
15,condition,n.,"Điều kiện, tình trạng",/kənˈdɪʃən/,the state that something is in,"Except for some minor repairs, the building is in very good condition.","Trừ một vài tu chữa nhỏ, tòa nhà đang ở trong tình trạng rất tốt.",https://audio.tflat.vn/data/cache/images/300x225/c/o/condition1.png,https://audio.tflat.vn/audio/c/o/condition.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
616,amend,verb,sửa đổi,/əˈmend/,to make changes to a document,The manager amended the contract.,Người quản lý đã sửa đổi hợp đồng.,,,Business,,2026-07-24 17:36:44.573617
16,due to,perp.,"Bởi, vì, do, tại, nhờ có",/djuː tuː/,because of,"Due to the low interest rates, good office space is difficult to find.","Vì mức lợi nhuận thấp, địa điểm văn phòng tốt rất khó tìm ra.",https://audio.tflat.vn/data/cache/images/300x225/d/u/due_to1.jpg,https://audio.tflat.vn/audio/d/u/due_to.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
17,fluctuate,v.,"Dao động, thay đổi bất thường",/´flʌktʃu¸eit/,"to change frequently in size, amount, quality, etc., especially from one extreme to another",No one is very comfortable making a large investment while the currency values fluctuate almost daily.,Không ai thấy thật yên tâm thực hiện một đầu tư lớn trong khi giá trị tiền tệ dao động như cơm bữa.,https://audio.tflat.vn/data/cache/images/300x225/f/l/fluctuate2.jpg,https://audio.tflat.vn/audio/f/l/fluctuate.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
18,get out of,v.,"Thôi, mất, bỏ, từ bỏ, rời bỏ, tránh né, thoát khỏi",/ɡɛt aʊt ɒv/,"to exit, escape",The company wanted to get out of the area before property values declined even further.,Công ty muốn từ bỏ khu vực trước khi giá trị tài sản suy sụp thậm chí còn nhiều hơn nữa.,https://audio.tflat.vn/data/cache/images/300x225/g/e/get_out_of1.jpg,https://audio.tflat.vn/audio/g/e/get_out_of.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
19,indicator,n.,"Người chỉ, vật chỉ thị",/'indikeitə/,a sign that shows you what something is like or how a situation is changing,"If the economy is an accurate indicator, rental prices will increase rapidly in the next six months.","Nếu nền kinh tế là chỉ báo chính xác, tiền thuê (nhà) sẽ tăng nhanh chóng trong 6 tháng tới.",https://audio.tflat.vn/data/cache/images/300x225/i/n/indicator2.jpg,https://audio.tflat.vn/audio/i/n/indicator.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
20,lease,"n,v.","Khế ước, hợp đồng cho thuê",/li:s/,"a legal agreement that allows you to use a car, a building",They decided to lease the property rather than buy it.,Họ đã quyết định đi thuê tài sản thay vì mua nó.,https://audio.tflat.vn/data/cache/images/300x225/l/e/lease1.jpg,https://audio.tflat.vn/audio/l/e/lease.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
21,lock into,v.,"Ràng buộc chặt, không thể thay đổi",/lɒk ˈɪntʊ/,"to commit, to be unable to change","Before you lock yourself into something, check all your options.","Trước khi bạn tự ràng buộc mình vào cái gì, hãy xem xét mọi chọn lựa của mình.",https://audio.tflat.vn/data/cache/images/300x225/l/o/lock_into1.png,https://audio.tflat.vn/audio/l/o/lock_into.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
22,occupy,v.,"Chiếm giữ, ở, cư ngụ",/'ɔkjupai/,"to fill or use a space, an area, or an amount of time",Our company has occupied this office for more than five years.,Công ty chúng tôi đã ở văn phòng này hơn 5 năm.,https://audio.tflat.vn/data/cache/images/300x225/o/c/occupy1.jpg,https://audio.tflat.vn/audio/o/c/occupy.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
23,option,n.,"Sự chọn lựa, quyền lựa chọn",/'ɔpʃn/,something that you can choose to have or do,"With the real estate market so tight right now, you don't have that many options.","Với thị trường BĐS khan hiếm đến vậy vào lúc này, anh không có nhiều chọn lựa đến vậy.",https://audio.tflat.vn/data/cache/images/300x225/o/p/option2.jpg,https://audio.tflat.vn/audio/o/p/option.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
24,subject to,adj.,"Lệ thuộc vào, tùy theo",/ˈsʌbdʒɛkt tuː/,"under legal power, dependent",This contract is subject to all the laws and regulations of the state.,Hợp đồng này tuân thủ mọi luật lệ và nguyên tắc của nhà nước.,https://audio.tflat.vn/data/cache/images/300x225/s/u/subject_to1.jpg,https://audio.tflat.vn/audio/s/u/subject_to.mp3,Renting and Leasing,https://tienganhtflat.com/blog/toeic-words-renting-and-leasing,2026-07-24 17:22:34.132489
25,brand,n.,"Nhãn hiệu, nhãn hàng, chi nhánh",/brænd/,a type of product made by a particular company,All brands of aspirin are the same.,Mọi nhãn hiệu về thuốc giảm đau aspirin là như nhau.,https://audio.tflat.vn/data/cache/images/300x225/b/r/brand2.png,https://audio.tflat.vn/audio/b/r/brand.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
26,conform,v.,"Làm cho phù hợp, làm cho thích hợp",/kən'fɔ:m/,to behave and think in the same way as most other people in a group or society,Our safety standards conform to those established by the government.,Các tiêu chuẩn an toàn của chúng tôi phù hợp với những tiêu chuẩn được thiết lập bởi chính phủ.,https://audio.tflat.vn/data/cache/images/300x225/c/o/conform1.png,https://audio.tflat.vn/audio/c/o/conform.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
27,defect,n.,"Khuyết điểm, sai sót",/di'fekt/,a fault in something,"Because of a defect in cable, the phone was returned.",Vì một lỗi ở dây cáp nên chiếc điện thoại đã được trả lại. ,https://audio.tflat.vn/data/images_example/300x225/b/e/because_of_ex1_580ec40d7f8b9ae2888b4579.jpg,https://audio.tflat.vn/audio/d/e/defect.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
28,enhance,v.,"Nâng cao, tăng cường",/in'hɑ:ns/,"to increase or further improve the good quality, value, or status of someone or something",This is an opportunity to enhance the reputation of the company.,Đây là cơ hội để nâng cao danh tiếng của công ty.,https://audio.tflat.vn/data/cache/images/300x225/e/n/enhance2.png,https://audio.tflat.vn/audio/e/n/enhance.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
29,garment,n.,Quần áo,/'gɑ:mənt/,a piece of clothing,Portland garment factory was established in 2008.,Nhà máy may ở Portland (tiểu bang của Mỹ) đã được thành lập năm 2008.,https://audio.tflat.vn/data/cache/images/300x225/g/a/garment2.png,https://audio.tflat.vn/audio/g/a/garment.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
30,inspect,v.,"Thanh tra, kiểm tra, xem xét kỹ",/in'spekt/,"to look closely at something or someone, especially to check that everything is as it should be.",Children's car seats are thoroughly inspected and tested for safety before being put on the market.,Chổ ngồi trên xe ô-tô của trẻ em được kiểm tra và kiểm nghiệm kỹ lưỡng trước khi có mặt trên thị trường.,https://audio.tflat.vn/data/images_example/300x225/c/h/childrens__ex1_580ec4117f8b9ae2888b457f.png,https://audio.tflat.vn/audio/i/n/inspect.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
617,applicant,noun,người ứng tuyển,/ˈæplɪkənt/,a person applying for a job,Each applicant submitted a resume.,Mỗi ứng viên đã nộp một bản sơ yếu lý lịch.,,,Employment,,2026-07-24 17:36:44.573617
31,perceptive,adj.,"Nhận thức được, cảm giác được, cảm thụ được",/pə'septiv/,"having or showing the ability to see or understand things quickly, especially things that are not obvious",It takes a perceptive person to be a good manager.,Phải là một người có khả năng cảm nhận mới trở thành một nhà quản lý tốt.,https://audio.tflat.vn/data/cache/images/300x225/p/e/perceptive2.png,https://audio.tflat.vn/audio/p/e/perceptive.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
32,repel,v.,Làm khó chịu,/ri'pel/,to make somebody feel horror or disgust,Faulty products repel repeat customers.,Những sản phẩm lỗi lại gây khó chịu cho khách hàng.,https://audio.tflat.vn/data/cache/images/300x225/r/e/repel2.png,https://audio.tflat.vn/audio/r/e/repel.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
33,take back,v.,"Lấy lại, mang trở lại",/teɪk bæk/,to return something,The quality inspector took the shoddy work back to the assembly line to confront the workers.,Thanh tra chất lượng đem sản phẩm xấu trở lại dây chuyền lắp ráp để đối chất với công nhân.,https://audio.tflat.vn/data/cache/images/300x225/t/a/take_back1.png,https://audio.tflat.vn/audio/t/a/take_back.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
34,throw out,v.,"Vứt bỏ, đuổi đi",/θrəʊ aʊt/,,You'll be thrown out if you don't pay the rent.,Bạn sẽ được đuổi ra nếu bạn không trả tiền thuê nhà.,https://audio.tflat.vn/data/cache/images/300x225/t/h/throw_out1.png,https://audio.tflat.vn/audio/t/h/throw_out.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
35,uniformly,adv.,"Đồng đều thống nhất, không thay đổi",/ˈjuːnɪfɔːmli/,the same in all parts and at all times,The principles were applied uniformly across all the departments.,Các nguyên tắc được áp dụng thống nhất trên tất cả các phòng ban.,https://audio.tflat.vn/data/cache/images/300x225/u/n/uniformly2.png,https://audio.tflat.vn/audio/u/n/uniformly.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
36,wrinkle,n.,"‹vếp/nếp› nhăn, nhàu",/'riɳkl/,"a line or small fold in your skin, especially on your face, that forms as you get older",A wrinkle in the finish can be repaired more economically before a sale than after.,Một vết nhăn trong (sản phẩm) hoàn chỉnh thì có thể sửa chữa trước khi bán có giá hơn là sau đó.,https://audio.tflat.vn/data/cache/images/300x225/w/r/wrinkle2.png,https://audio.tflat.vn/audio/w/r/wrinkle.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control,2026-07-24 17:22:34.132489
37,health,n.,Sức khỏe,/hɛlθ/,,Exhaust fumes are bad for your health.,Khí thải có hại cho sức khỏe của bạn.,https://audio.tflat.vn/data/images_example/300x225/e/x/exhaust_fu_ex2_581c093f7f8b9a24318b45fe.jpg,https://audio.tflat.vn/audio/h/e/health.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
38,allow,v.,"Cho phép, chấp nhận",/ə'lau/,to let someone or something,My insurance does not allow choosing my own hospital.,Hợp đồng bảo hiểm của tôi không cho lựa chọn bệnh viện theo ý riêng của tôi. ,https://audio.tflat.vn/data/cache/images/300x225/a/l/allow1.jpg,https://audio.tflat.vn/audio/a/l/allow.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
39,alternative,adj.,"Xen kẽ, thay thế, luân phiên",/ɔ:l'tə:nətiv/,that can be used instead of something else,Have you thought of an alternative plan?,Bạn đã nghĩ đến kế hoạch thay thế chưa?,https://audio.tflat.vn/data/cache/images/300x225/a/l/alternative.jpg,https://audio.tflat.vn/audio/a/l/alternative.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
40,aspect,n.,Khía cạnh,/ˈæspekt/,"a particular part or feature of a situation, an idea, a problem",She felt she had looked at the problem from every aspect.,Cô ấy cảm thấy rằng cô ấy đã nhìn nhận vấn đề từ mọi khía cạnh.,https://audio.tflat.vn/data/cache/images/300x225/a/s/aspect1.jpg,https://audio.tflat.vn/audio/a/s/aspect.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
41,concern,n.,"Mối quan tâm, lo lắng",/kənˈsɜːn/,a feeling of worry,"Whenever I have health concerns, I call my doctor.","Hễ khi nào tôi có lo ngại về sức khỏe, tôi gọi cho bác sĩ của mình.",https://audio.tflat.vn/data/images_example/300x225/w/h/whenever_i_ex1_56248cfc7f8b9afa0cb17fd8.jpg,https://audio.tflat.vn/audio/c/o/concern.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
42,emphasize,v.,"Nhấn mạnh, làm nổi bật",/ˈɛmfəˌsaɪz/,to give special importance to something,The nurse emphasized the importance of eating a balanced diet.,Người y tá nhấn mạnh tầm quan trọng của việc ăn uống theo chế độ cân bằng.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_nurse__ex1_56248d167f8b9a040dc66284.png,https://audio.tflat.vn/audio/e/m/emphasize.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
43,incur,v.,"Gánh chịu,bị",/in'kə:/,to become subject to,I incurred substantial expenses that my health plan does not cover.,Tôi phải gánh những chi phí phát sinh mà dự án chăm sóc sức khỏe của tôi không bao gồm.,https://audio.tflat.vn/data/cache/images/300x225/i/n/incur1.png,https://audio.tflat.vn/audio/i/n/incur.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
44,personnel,n.,Nhân viên,"/,pə:sə'nel/",the people who work for an organization,The employee went to see the director of personnel about taking an extended leave of absence.,Người nhân viên đi gặp giám đốc nhân sự về việc xin gia hạn thời gian nghỉ phép.,https://audio.tflat.vn/data/cache/images/300x225/p/e/personnel1.png,https://audio.tflat.vn/audio/p/e/personnel.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
45,policy,n.,"Chính sách, hợp đồng, khế ước",/'pɔlisi/,"a plan of action agreed or chosen by a political party, a business, etc.",The company's insurance policy did not cover cosmetic surgery.,Chính sách bảo hiểm của công ty không bao gồm phẫu thuật thẩm mỹ.,https://audio.tflat.vn/data/cache/images/300x225/p/o/policy1.png,https://audio.tflat.vn/audio/p/o/policy.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
46,portion,n.,"Chia phần, số phận",/'pɔ:ʃn/,one part of something larger,A portion of my benefits is my health care coverage.,Một phần phúc lợi của tôi là bảo hiểm chăm sóc sức khỏe.,https://audio.tflat.vn/data/cache/images/300x225/p/o/portion1.jpg,https://audio.tflat.vn/audio/p/o/portion.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
47,regardless,adv.,"Không quan tâm, bất chấp",/ri'gɑ:dlis/,"paying no attention, even if the situation is bad or there are difficulties","Regardless of the cost, we all need health insurance.","Bất chấp phí tổn, tất cả chúng tôi đều cần bảo hiểm y tế.",https://audio.tflat.vn/data/cache/images/300x225/r/e/regardless1.png,https://audio.tflat.vn/audio/r/e/regardless.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
48,salary,n.,Lương hàng tháng,/ˈsæləri/,money that employees receive for doing their job,The technician was pleased to have a raise in salary after only six months on the job.,Người kỹ thuật viên đã hài lòng khi có sự tăng lương chỉ sau 6 tháng làm việc.,https://audio.tflat.vn/data/cache/images/300x225/s/a/salary1.png,https://audio.tflat.vn/audio/s/a/salary.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
49,suit,v.,"Phù hợp với, thích hợp với",/sju:t/,to be convenient or useful for somebody,I have finally found a health plan that suits my needs.,Rốt cuộc thì tôi đã tìm ra một dự án chăm sóc sức khỏe (mà) phù hợp với nhu cầu của tôi.,https://audio.tflat.vn/data/cache/images/300x225/s/u/suit1.png,https://audio.tflat.vn/audio/s/u/suit.mp3,Health,https://tienganhtflat.com/blog/toeic-words-health,2026-07-24 17:22:34.132489
50,affordable,adj.,Có đủ điều kiện tiền bạc,/əˈfɔːdəbəl/,cheap enough for most people to buy,The company's first priority was to find an affordable phone system.,Ưu tiên trước hết của công ty là tìm một hệ thống điện thoại có đủ khả năng (hoạt động).,https://audio.tflat.vn/data/cache/images/300x225/a/f/affordable1.jpg,https://audio.tflat.vn/audio/a/f/affordable.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
51,as needed,adv.,Lúc cần thiết,/az niːdɪd/,In need,The service contract states that repairs will be made on a basis as needed.,Hợp đồng dịch vụ nói rằng việc sửa chữa sẽ được thực hiện dựa trên cơ sở lúc cần thiết.,https://audio.tflat.vn/data/cache/images/300x225/a/s/as_needed2.jpg,https://audio.tflat.vn/audio/a/s/as_needed.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
52,be in charge of,v.,Chịu trách nhiệm về ,/bi: ɪn tʃɑːdʒ əv/,be responsible for,He appointed someone to be in charge of maintaining a supply of paper in the fax machine.,Ông ấy chọn người nào đó chịu trách nhiệm duy trì việc cung cấp giấy cho máy fax.,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_in_charge_of1.png,https://audio.tflat.vn/audio/b/e/be_in_charge_of.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
53,capacity,n.,"Sức chứa, dung tích",/kə'pæsiti/,the number of things or people that a container or space can hold,The new conference room is much larger and has a capacity of one hundred people.,Phòng họp mới thì lớn hơn nhiều (phòng cũ) và có khả năng chứa được một trăm người.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_new_co_ex1_56248d0b7f8b9a000de3cf4d.jpg,https://audio.tflat.vn/audio/c/a/capacity.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
54,durable,adj.,"Bền, lâu",/ˈdjʊərəbl/,likely to last for a long time,These chairs are more durable than the first ones we looked at.,Những cái ghế này bền hơn nhiều những cái ghế đầu tiên mà chúng ta đã thấy.,https://audio.tflat.vn/data/images_example/300x225/t/h/these_chai_ex1_56248d157f8b9a040dc65e1c.jpg,https://audio.tflat.vn/audio/d/u/durable.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
55,initiative,n.,"Bước khởi đầu, sự khởi xướng",/i'niʃiətiv/,the ability to decide and act on your own without waiting for somebody to tell you what to do,Take the initiative and engage your classmates in friendly conversation.,Hãy khởi xướng và thu hút các bạn cùng lớp tham gia vào một cuộc nói chuyện thân thiện.,https://audio.tflat.vn/data/images_example/300x225/t/a/take_the_i_ex1_56248d127f8b9a020d261a10.jpg,https://audio.tflat.vn/audio/i/n/initiative.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
56,physically,adv.,"Về thân thể, thể chất ",/ˈfɪzɪkli /,in a way that is connected with a person's body rather than their mind,The computer screen is making her physically sick.,Màn hình máy tính khiến cho cô ta khó chịu về mặt thể chất.,https://audio.tflat.vn/data/cache/images/300x225/p/h/physically2.jpg,https://audio.tflat.vn/audio/p/h/physically.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
57,provider,n.,Nhà cung cấp ,/prəˈvaɪdə(r)/,a person or an organization that supplies somebody with something they need,The department was extremely pleased with the service they received from the phone provider.,Bộ phận hết sức hài lòng với dịch vụ mà họ nhận được từ nhà cung cấp dịch vụ điện thoại.,https://audio.tflat.vn/data/cache/images/300x225/p/r/provider1.png,https://audio.tflat.vn/audio/p/r/provider.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
58,recur,v.,"Tái diễn, lặp đi lặp lại",/ri'kə:/,to happen again,The managers did not want that particular error to recur.,Các trưởng phòng không muốn những lỗi cá biệt đó lại tái diễn.,https://audio.tflat.vn/data/cache/images/300x225/r/e/recur2.jpg,https://audio.tflat.vn/audio/r/e/recur.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
59,reduction,n.,"Sự giảm, thu nhỏ",/ri'dʌkʃn/,an act of making something less or smaller,The outlet store gave a 20 percent reduction in the price of the shelves and bookcases.,Cửa hàng tiêu thụ đã giảm giá 20% với các kệ sách và tủ sách.,https://audio.tflat.vn/data/cache/images/300x225/r/e/reduction1.jpg,https://audio.tflat.vn/audio/r/e/reduction.mp3,Office Technology,https://tienganhtflat.com/blog/toeic-words-office-technology,2026-07-24 17:22:34.132489
