id,question_id,option_label,option_text,display_order,is_correct
895,257,A,Finalize the report,1,f
896,257,B,Start over,2,f
897,257,C,Cancel it,3,f
898,257,D,Delay it,4,f
899,258,A,The client,1,f
900,258,B,The team,2,f
901,258,C,Management,3,f
902,258,D,External consultants,4,f
903,259,A,Delayed,1,f
904,259,B,Cancelled,2,f
905,259,C,Behind schedule,3,f
906,259,D,On track,4,f
907,260,A,Start over,1,f
908,260,B,Finalize the report,2,f
909,260,C,Cancel it,3,f
910,260,D,Delay it,4,f
911,261,A,The client,1,f
912,261,B,Management,2,f
913,261,C,External consultants,3,f
914,261,D,The team,4,f
915,262,A,Delayed,1,f
916,262,B,On track,2,f
917,262,C,Cancelled,3,f
918,262,D,Behind schedule,4,f
919,263,A,Start over,1,f
920,263,B,Cancel it,2,f
921,263,C,Delay it,3,f
922,263,D,Finalize the report,4,f
923,264,A,The team,1,f
924,264,B,The client,2,f
125,63,A,At 9 A.M.,1,f
925,264,C,Management,3,f
926,264,D,External consultants,4,f
927,265,A,Delayed,1,f
928,265,B,Cancelled,2,f
929,265,C,On track,3,f
930,265,D,Behind schedule,4,f
931,266,A,Start over,1,f
932,266,B,Cancel it,2,f
933,266,C,Delay it,3,f
934,266,D,Finalize the report,4,f
935,267,A,The client,1,f
936,267,B,Management,2,f
937,267,C,External consultants,3,f
938,267,D,The team,4,f
939,268,A,Delayed,1,f
940,268,B,Cancelled,2,f
941,268,C,Behind schedule,3,f
942,268,D,On track,4,f
943,269,A,Finalize the report,1,f
944,269,B,Start over,2,f
945,269,C,Cancel it,3,f
946,269,D,Delay it,4,f
947,270,A,The team,1,f
948,270,B,The client,2,f
949,270,C,Management,3,f
950,270,D,External consultants,4,f
951,271,A,flight departure,1,f
952,271,B,weather alert,2,f
953,271,C,facility update,3,f
954,271,D,service change,4,f
955,272,A,Gate 1,1,f
956,272,B,Gate 3,2,f
957,272,C,Gate 4,3,f
958,272,D,Gate 5,4,f
959,273,A,Proceed to gate,1,f
960,273,B,Wait here,2,f
961,273,C,Go to check-in,3,f
962,273,D,Contact staff,4,f
963,274,A,facility update,1,f
964,274,B,weather alert,2,f
965,274,C,service change,3,f
966,274,D,safety notice,4,f
967,275,A,Gate 4,1,f
968,275,B,Gate 5,2,f
969,275,C,Gate 2,3,f
970,275,D,Gate 6,4,f
971,276,A,Wait here,1,f
972,276,B,Proceed to gate,2,f
973,276,C,Go to check-in,3,f
974,276,D,Contact staff,4,f
975,277,A,service change,1,f
976,277,B,safety notice,2,f
977,277,C,flight departure,3,f
978,277,D,facility update,4,f
979,278,A,Gate 5,1,f
980,278,B,Gate 3,2,f
981,278,C,Gate 6,3,f
982,278,D,Gate 7,4,f
983,279,A,Proceed to gate,1,f
984,279,B,Wait here,2,f
985,279,C,Go to check-in,3,f
986,279,D,Contact staff,4,f
987,280,A,safety notice,1,f
988,280,B,flight departure,2,f
989,280,C,service change,3,f
990,280,D,weather alert,4,f
991,281,A,Gate 4,1,f
992,281,B,Gate 6,2,f
993,281,C,Gate 7,3,f
994,281,D,Gate 8,4,f
995,282,A,Wait here,1,f
996,282,B,Proceed to gate,2,f
997,282,C,Go to check-in,3,f
998,282,D,Contact staff,4,f
999,283,A,flight departure,1,f
1000,283,B,weather alert,2,f
1001,283,C,safety notice,3,f
1002,283,D,facility update,4,f
1003,284,A,Gate 5,1,f
1004,284,B,Gate 7,2,f
1005,284,C,Gate 8,3,f
1006,284,D,Gate 9,4,f
1007,285,A,Proceed to gate,1,f
1008,285,B,Wait here,2,f
1009,285,C,Go to check-in,3,f
1010,285,D,Contact staff,4,f
1011,286,A,flight departure,1,f
1012,286,B,weather alert,2,f
1013,286,C,facility update,3,f
1014,286,D,service change,4,f
1015,287,A,Gate 8,1,f
1016,287,B,Gate 9,2,f
1017,287,C,Gate 6,3,f
1018,287,D,Gate 10,4,f
1019,288,A,Wait here,1,f
1020,288,B,Go to check-in,2,f
1021,288,C,Proceed to gate,3,f
1022,288,D,Contact staff,4,f
1023,289,A,facility update,1,f
1024,289,B,service change,2,f
1025,289,C,safety notice,3,f
1026,289,D,weather alert,4,f
1027,290,A,Gate 7,1,f
1028,290,B,Gate 9,2,f
1029,290,C,Gate 10,3,f
1030,290,D,Gate 11,4,f
1031,291,A,Proceed to gate,1,f
1032,291,B,Wait here,2,f
1033,291,C,Go to check-in,3,f
1034,291,D,Contact staff,4,f
1035,292,A,facility update,1,f
1036,292,B,service change,2,f
1037,292,C,safety notice,3,f
1038,292,D,flight departure,4,f
1039,293,A,Gate 8,1,f
1040,293,B,Gate 10,2,f
1041,293,C,Gate 11,3,f
1042,293,D,Gate 12,4,f
1043,294,A,Proceed to gate,1,f
1044,294,B,Wait here,2,f
1045,294,C,Go to check-in,3,f
1046,294,D,Contact staff,4,f
1047,295,A,service change,1,f
1048,295,B,safety notice,2,f
1049,295,C,flight departure,3,f
1050,295,D,weather alert,4,f
1051,296,A,Gate 11,1,f
1052,296,B,Gate 9,2,f
1053,296,C,Gate 12,3,f
1054,296,D,Gate 13,4,f
1055,297,A,Wait here,1,f
1056,297,B,Go to check-in,2,f
1057,297,C,Contact staff,3,f
1058,297,D,Proceed to gate,4,f
1059,298,A,flight departure,1,f
1060,298,B,weather alert,2,f
1061,298,C,facility update,3,f
1062,298,D,safety notice,4,f
1063,299,A,Gate 12,1,f
1064,299,B,Gate 13,2,f
1065,299,C,Gate 14,3,f
1066,299,D,Gate 10,4,f
1067,300,A,Wait here,1,f
1068,300,B,Proceed to gate,2,f
1069,300,C,Go to check-in,3,f
1070,300,D,Contact staff,4,f
1071,301,A,verb tenses,1,f
1072,301,B,articles,2,f
1073,301,C,pronouns,3,f
1074,301,D,prepositions,4,f
1075,302,A,articles,1,f
1076,302,B,pronouns,2,f
1077,302,C,verb tenses,3,f
1078,302,D,conjunctions,4,f
1079,303,A,pronouns,1,f
1080,303,B,conjunctions,2,f
1081,303,C,articles,3,f
1082,303,D,prepositions,4,f
1083,304,A,conjunctions,1,f
1084,304,B,prepositions,2,f
1085,304,C,verb tenses,3,f
1086,304,D,pronouns,4,f
1087,305,A,prepositions,1,f
1088,305,B,conjunctions,2,f
1089,305,C,verb tenses,3,f
1090,305,D,articles,4,f
1091,306,A,verb tenses,1,f
1092,306,B,articles,2,f
1093,306,C,prepositions,3,f
1094,306,D,pronouns,4,f
1095,307,A,articles,1,f
1096,307,B,pronouns,2,f
1097,307,C,conjunctions,3,f
1098,307,D,verb tenses,4,f
1099,308,A,pronouns,1,f
1100,308,B,conjunctions,2,f
1101,308,C,articles,3,f
1102,308,D,prepositions,4,f
1103,309,A,conjunctions,1,f
1104,309,B,pronouns,2,f
1105,309,C,prepositions,3,f
1106,309,D,verb tenses,4,f
1107,310,A,prepositions,1,f
1108,310,B,conjunctions,2,f
1109,310,C,verb tenses,3,f
1110,310,D,articles,4,f
1111,311,A,verb tenses,1,f
1112,311,B,articles,2,f
1113,311,C,pronouns,3,f
1114,311,D,prepositions,4,f
1115,312,A,articles,1,f
1116,312,B,pronouns,2,f
1117,312,C,conjunctions,3,f
1118,312,D,verb tenses,4,f
1119,313,A,pronouns,1,f
1120,313,B,conjunctions,2,f
1121,313,C,prepositions,3,f
1122,313,D,articles,4,f
1123,314,A,pronouns,1,f
1124,314,B,conjunctions,2,f
1125,314,C,prepositions,3,f
1126,314,D,verb tenses,4,f
1127,315,A,prepositions,1,f
1128,315,B,verb tenses,2,f
1129,315,C,articles,3,f
1130,315,D,conjunctions,4,f
1131,316,A,verb tenses,1,f
1132,316,B,articles,2,f
1133,316,C,pronouns,3,f
1134,316,D,prepositions,4,f
1135,317,A,articles,1,f
1136,317,B,verb tenses,2,f
1137,317,C,pronouns,3,f
1138,317,D,conjunctions,4,f
1139,318,A,articles,1,f
1140,318,B,pronouns,2,f
1141,318,C,conjunctions,3,f
1142,318,D,prepositions,4,f
1143,319,A,conjunctions,1,f
1144,319,B,prepositions,2,f
1145,319,C,pronouns,3,f
1146,319,D,verb tenses,4,f
1147,320,A,prepositions,1,f
1148,320,B,conjunctions,2,f
1149,320,C,verb tenses,3,f
1150,320,D,articles,4,f
1151,321,A,verb tenses,1,f
1152,321,B,articles,2,f
1153,321,C,pronouns,3,f
1154,321,D,prepositions,4,f
1155,322,A,verb tenses,1,f
1156,322,B,articles,2,f
1157,322,C,pronouns,3,f
1158,322,D,conjunctions,4,f
1159,323,A,pronouns,1,f
1160,323,B,conjunctions,2,f
1161,323,C,prepositions,3,f
1162,323,D,articles,4,f
1163,324,A,conjunctions,1,f
1164,324,B,pronouns,2,f
1165,324,C,prepositions,3,f
1166,324,D,verb tenses,4,f
1167,325,A,conjunctions,1,f
1168,325,B,prepositions,2,f
1169,325,C,verb tenses,3,f
1170,325,D,articles,4,f
1171,326,A,prepositions,1,f
1172,326,B,verb tenses,2,f
1173,326,C,articles,3,f
1174,326,D,pronouns,4,f
1175,327,A,articles,1,f
1176,327,B,pronouns,2,f
1177,327,C,verb tenses,3,f
1178,327,D,conjunctions,4,f
1179,328,A,articles,1,f
1180,328,B,pronouns,2,f
1181,328,C,conjunctions,3,f
1182,328,D,prepositions,4,f
1183,329,A,pronouns,1,f
1184,329,B,conjunctions,2,f
1185,329,C,prepositions,3,f
1186,329,D,verb tenses,4,f
1187,330,A,prepositions,1,f
1188,330,B,verb tenses,2,f
1189,330,C,articles,3,f
1190,330,D,conjunctions,4,f
1191,331,A,concerns,1,f
1192,331,B,regards,2,f
1193,331,C,involves,3,f
1194,331,D,discusses,4,f
1195,332,A,ignore,1,f
1196,332,B,delete,2,f
1197,332,C,forward,3,f
1198,332,D,review,4,f
1199,333,A,reject,1,f
1200,333,B,accept,2,f
1201,333,C,respond,3,f
1202,333,D,delay,4,f
1203,334,A,immediately,1,f
1204,334,B,later,2,f
1205,334,C,never,3,f
1206,334,D,accordingly,4,f
1207,335,A,regards,1,f
1208,335,B,concerns,2,f
1209,335,C,involves,3,f
1210,335,D,discusses,4,f
1211,336,A,ignore,1,f
1212,336,B,delete,2,f
1213,336,C,forward,3,f
405,133,A,I,1,f
1214,336,D,review,4,f
1215,337,A,respond,1,f
1216,337,B,reject,2,f
1217,337,C,accept,3,f
1218,337,D,delay,4,f
1219,338,A,immediately,1,f
1220,338,B,later,2,f
1221,338,C,accordingly,3,f
1222,338,D,never,4,f
1223,339,A,regards,1,f
1224,339,B,involves,2,f
1225,339,C,concerns,3,f
1226,339,D,discusses,4,f
1227,340,A,review,1,f
1228,340,B,ignore,2,f
1229,340,C,delete,3,f
1230,340,D,forward,4,f
1231,341,A,reject,1,f
1232,341,B,respond,2,f
1233,341,C,accept,3,f
1234,341,D,delay,4,f
1235,342,A,immediately,1,f
1236,342,B,later,2,f
1237,342,C,never,3,f
1238,342,D,accordingly,4,f
1239,343,A,concerns,1,f
1240,343,B,regards,2,f
1241,343,C,involves,3,f
1242,343,D,discusses,4,f
1243,344,A,ignore,1,f
1244,344,B,review,2,f
1245,344,C,delete,3,f
1246,344,D,forward,4,f
1247,345,A,reject,1,f
1248,345,B,accept,2,f
1249,345,C,delay,3,f
1250,345,D,respond,4,f
1251,346,A,immediately,1,f
1252,346,B,accordingly,2,f
1253,346,C,later,3,f
1254,346,D,never,4,f
1255,347,A,The project,1,f
1256,347,B,The regarding the project deadline,2,f
1257,347,C,The meeting,3,f
1258,347,D,The budget,4,f
1259,348,A,Management,1,f
1260,348,B,HR,2,f
1261,348,C,IT,3,f
1262,348,D,Company Name,4,f
1263,349,A,Read carefully,1,f
1264,349,B,Ignore it,2,f
1265,349,C,Delete it,3,f
1266,349,D,Forward it,4,f
1267,350,A,The project,1,f
1268,350,B,The meeting,2,f
1269,350,C,The regarding the project deadline,3,f
1270,350,D,The budget,4,f
1271,351,A,The project,1,f
1272,351,B,The meeting,2,f
1273,351,C,The about the client meeting,3,f
1274,351,D,The budget,4,f
1275,352,A,Company Name,1,f
1276,352,B,Management,2,f
1277,352,C,HR,3,f
1278,352,D,IT,4,f
1279,353,A,Ignore it,1,f
1280,353,B,Read carefully,2,f
1281,353,C,Delete it,3,f
1282,353,D,Forward it,4,f
1283,354,A,The project,1,f
1284,354,B,The concerning the budget approval,2,f
1285,354,C,The meeting,3,f
1286,354,D,The budget,4,f
1287,355,A,Management,1,f
1288,355,B,HR,2,f
1289,355,C,IT,3,f
1290,355,D,Company Name,4,f
1291,356,A,Ignore it,1,f
1292,356,B,Delete it,2,f
1293,356,C,Read carefully,3,f
1294,356,D,Forward it,4,f
1295,357,A,The project,1,f
1296,357,B,The meeting,2,f
1297,357,C,The concerning the budget approval,3,f
1298,357,D,The budget,4,f
1299,358,A,The project,1,f
1300,358,B,The meeting,2,f
1301,358,C,The budget,3,f
1302,358,D,The regarding the schedule change,4,f
1303,359,A,Company Name,1,f
1304,359,B,Management,2,f
1305,359,C,HR,3,f
1306,359,D,IT,4,f
1307,360,A,Read carefully,1,f
1308,360,B,Ignore it,2,f
1309,360,C,Delete it,3,f
1310,360,D,Forward it,4,f
1311,361,A,The project,1,f
1312,361,B,The meeting,2,f
1313,361,C,The about the contract renewal,3,f
1314,361,D,The budget,4,f
1315,362,A,Management,1,f
1316,362,B,HR,2,f
1317,362,C,IT,3,f
1318,362,D,Company Name,4,f
1319,363,A,Ignore it,1,f
1320,363,B,Read carefully,2,f
1321,363,C,Delete it,3,f
1322,363,D,Forward it,4,f
1323,364,A,The project,1,f
1324,364,B,The meeting,2,f
1325,364,C,The about the contract renewal,3,f
1326,364,D,The budget,4,f
1327,365,A,The project,1,f
1328,365,B,The regarding the product launch,2,f
1329,365,C,The meeting,3,f
1330,365,D,The budget,4,f
1331,366,A,Company Name,1,f
1332,366,B,Management,2,f
1333,366,C,HR,3,f
1334,366,D,IT,4,f
1335,367,A,Read carefully,1,f
1336,367,B,Ignore it,2,f
1337,367,C,Delete it,3,f
1338,367,D,Forward it,4,f
1339,368,A,The about the team training,1,f
1340,368,B,The project,2,f
1341,368,C,The meeting,3,f
1342,368,D,The budget,4,f
1343,369,A,Management,1,f
1344,369,B,HR,2,f
1345,369,C,Company Name,3,f
1346,369,D,IT,4,f
1347,370,A,Ignore it,1,f
1348,370,B,Delete it,2,f
1349,370,C,Read carefully,3,f
1350,370,D,Forward it,4,f
1351,371,A,The about the team training,1,f
1352,371,B,The project,2,f
1353,371,C,The meeting,3,f
1354,371,D,The budget,4,f
1355,372,A,The project,1,f
1356,372,B,The concerning the security update,2,f
1357,372,C,The meeting,3,f
1358,372,D,The budget,4,f
1359,373,A,Company Name,1,f
1360,373,B,Management,2,f
1361,373,C,HR,3,f
1362,373,D,IT,4,f
1363,374,A,Read carefully,1,f
1364,374,B,Ignore it,2,f
1365,374,C,Delete it,3,f
1366,374,D,Forward it,4,f
1367,375,A,The regarding the system upgrade,1,f
1368,375,B,The project,2,f
1369,375,C,The meeting,3,f
1370,375,D,The budget,4,f
1371,376,A,Management,1,f
1372,376,B,HR,2,f
1373,376,C,Company Name,3,f
1374,376,D,IT,4,f
1375,377,A,Read carefully,1,f
1376,377,B,Ignore it,2,f
1377,377,C,Delete it,3,f
1378,377,D,Forward it,4,f
1379,378,A,The regarding the system upgrade,1,f
1380,378,B,The project,2,f
1381,378,C,The meeting,3,f
1382,378,D,The budget,4,f
1383,379,A,The project,1,f
1384,379,B,The meeting,2,f
1385,379,C,The about the policy change,3,f
1386,379,D,The budget,4,f
1387,380,A,Management,1,f
1388,380,B,Company Name,2,f
1389,380,C,HR,3,f
1390,380,D,IT,4,f
1391,381,A,Ignore it,1,f
1392,381,B,Delete it,2,f
1393,381,C,Read carefully,3,f
1394,381,D,Forward it,4,f
1395,382,A,The regarding the office relocation,1,f
1396,382,B,The project,2,f
1397,382,C,The meeting,3,f
1398,382,D,The budget,4,f
1399,383,A,Company Name,1,f
1400,383,B,Management,2,f
1401,383,C,HR,3,f
1402,383,D,IT,4,f
1403,384,A,Ignore it,1,f
1404,384,B,Delete it,2,f
1405,384,C,Read carefully,3,f
1406,384,D,Forward it,4,f
1407,385,A,The project,1,f
1408,385,B,The meeting,2,f
1409,385,C,The regarding the office relocation,3,f
1410,385,D,The budget,4,f
1411,386,A,The project,1,f
1412,386,B,The meeting,2,f
1413,386,C,The budget,3,f
1414,386,D,The about the holiday schedule,4,f
1415,387,A,Management,1,f
1416,387,B,HR,2,f
1417,387,C,Company Name,3,f
1418,387,D,IT,4,f
1419,388,A,Ignore it,1,f
1420,388,B,Read carefully,2,f
1421,388,C,Delete it,3,f
1422,388,D,Forward it,4,f
1423,389,A,The project,1,f
1424,389,B,The concerning the salary review,2,f
1425,389,C,The meeting,3,f
1426,389,D,The budget,4,f
1427,390,A,Management,1,f
1428,390,B,Company Name,2,f
1429,390,C,HR,3,f
1430,390,D,IT,4,f
1431,391,A,Read carefully,1,f
1432,391,B,Ignore it,2,f
1433,391,C,Delete it,3,f
1434,391,D,Forward it,4,f
1435,392,A,The project,1,f
1436,392,B,The concerning the salary review,2,f
1437,392,C,The meeting,3,f
1438,392,D,The budget,4,f
1439,393,A,The project,1,f
1440,393,B,The regarding the new procedure,2,f
1441,393,C,The meeting,3,f
1442,393,D,The budget,4,f
1443,394,A,Company Name,1,f
1444,394,B,Management,2,f
1445,394,C,HR,3,f
1446,394,D,IT,4,f
1447,395,A,Ignore it,1,f
1448,395,B,Read carefully,2,f
1449,395,C,Delete it,3,f
1450,395,D,Forward it,4,f
1451,396,A,The regarding the new procedure,1,f
1452,396,B,The project,2,f
1453,396,C,The meeting,3,f
1454,396,D,The budget,4,f
1455,397,A,The project,1,f
1456,397,B,The meeting,2,f
1457,397,C,The about the equipment order,3,f
1458,397,D,The budget,4,f
1459,398,A,Company Name,1,f
1460,398,B,Management,2,f
1461,398,C,HR,3,f
1462,398,D,IT,4,f
1463,399,A,Ignore it,1,f
1464,399,B,Delete it,2,f
1465,399,C,Forward it,3,f
1466,399,D,Read carefully,4,f
1467,400,A,The project,1,f
1468,400,B,The meeting,2,f
1469,400,C,The about the equipment order,3,f
1470,400,D,The budget,4,f
2590,683,D,facility update,4,f
2591,684,A,Gate 7,1,f
2592,684,B,Gate 5,2,f
2593,684,C,Gate 8,3,f
2594,684,D,Gate 9,4,f
2595,685,A,Wait here,1,f
2596,685,B,Proceed to gate,2,f
2597,685,C,Go to check-in,3,f
2598,685,D,Contact staff,4,f
2599,686,A,weather alert,1,f
2600,686,B,flight departure,2,f
2601,686,C,facility update,3,f
2602,686,D,service change,4,f
2603,687,A,Gate 8,1,f
2604,687,B,Gate 6,2,f
2605,687,C,Gate 9,3,f
2606,687,D,Gate 10,4,f
2607,688,A,Proceed to gate,1,f
2608,688,B,Wait here,2,f
2609,688,C,Go to check-in,3,f
2610,688,D,Contact staff,4,f
2611,689,A,weather alert,1,f
2612,689,B,facility update,2,f
2613,689,C,service change,3,f
2614,689,D,safety notice,4,f
2615,690,A,Gate 9,1,f
2616,690,B,Gate 10,2,f
2617,690,C,Gate 7,3,f
2618,690,D,Gate 11,4,f
2619,691,A,Wait here,1,f
2620,691,B,Go to check-in,2,f
2621,691,C,Proceed to gate,3,f
2622,691,D,Contact staff,4,f
2623,692,A,service change,1,f
2624,692,B,safety notice,2,f
2625,692,C,facility update,3,f
2626,692,D,flight departure,4,f
2627,693,A,Gate 8,1,f
2628,693,B,Gate 10,2,f
2629,693,C,Gate 11,3,f
2630,693,D,Gate 12,4,f
2631,694,A,Wait here,1,f
2632,694,B,Go to check-in,2,f
2633,694,C,Proceed to gate,3,f
1471,401,A,The person is loading packages.,1,f
1472,401,B,The person is delivering goods.,2,f
1473,401,C,The person is shipping items.,3,f
1474,402,A,The person is examining merchandise.,1,f
1475,402,B,The person is shopping for products.,2,f
1476,402,C,The person is browsing items.,3,f
1477,403,A,The person is queuing for service.,1,f
1478,403,B,The person is standing in queue.,2,f
1479,403,D,The person is waiting in line.,4,f
1480,404,A,The person is cooking meals.,1,f
1481,404,B,The person is creating dishes.,2,f
1482,404,D,The person is preparing food.,4,f
1483,405,A,The person is educating students.,1,f
1484,405,B,The person is teaching a class.,2,f
1485,405,C,The person is instructing learners.,3,f
1486,406,A,The person is repairing equipment.,1,f
1487,406,B,The person is fixing machinery.,2,f
1488,406,C,The person is maintaining tools.,3,f
1489,407,A,Email only,1,f
1490,407,B,24/7 phone support,2,f
1491,407,C,No support,3,f
1492,407,D,Community forum,4,f
1493,408,A,Windows only,1,f
1494,408,B,Both platforms,2,f
1495,408,C,Linux only,3,f
1496,408,D,Fully compatible,4,f
1497,409,A,Anytime upgrade,1,f
1498,409,B,"No, fixed plan",2,f
1499,409,C,Annual upgrade only,3,f
1500,409,D,Downgrade only,4,f
1501,410,A,Up to 12 hours,1,f
1502,410,B,24 hours,2,f
1503,410,C,6 hours,3,f
1504,410,D,Rechargeable,4,f
1505,411,A,No free trial,1,f
1506,411,B,7-day trial,2,f
1507,411,C,14-day free trial,3,f
1508,411,D,30-day trial,4,f
