id,user_id,vocabulary_id,learned_at,review_count,next_review,created_at,status,review_level,last_review,updated_at,custom_example,notes
60,2,148,2026-08-03 05:21:13.286,1,2026-08-03 05:51:13.286,2026-08-03 05:21:13.288,LEARNING,1,2026-08-03 05:21:13.286,2026-08-03 05:21:13.288,,
61,2,143,2026-08-03 05:37:34.553,1,2026-08-03 06:07:34.553,2026-08-03 05:37:34.555,LEARNING,1,2026-08-03 05:37:34.553,2026-08-03 05:37:34.555,,
36,2,23,2026-08-02 15:03:42.251,2,2026-08-03 08:38:32.571,2026-08-02 15:03:42.253,REVIEW,2,2026-08-03 05:38:32.571,2026-08-03 05:38:32.573,,
37,2,25,2026-08-02 15:03:42.432,2,2026-08-03 08:46:39.216,2026-08-02 15:03:42.435,REVIEW,2,2026-08-03 05:46:39.216,2026-08-03 05:46:39.218,,
38,2,28,2026-08-02 15:03:42.608,3,2026-08-03 15:46:45.976,2026-08-02 15:03:42.61,REVIEW,3,2026-08-03 05:46:45.976,2026-08-03 05:46:45.977,,
39,2,34,2026-08-02 15:03:44.126,2,2026-08-03 08:50:44.4,2026-08-02 15:03:44.129,REVIEW,2,2026-08-03 05:50:44.401,2026-08-03 05:50:44.402,,
40,2,37,2026-08-02 15:03:44.319,2,2026-08-03 08:56:02.707,2026-08-02 15:03:44.321,REVIEW,2,2026-08-03 05:56:02.708,2026-08-03 05:56:02.712,,
41,2,41,2026-08-02 15:03:44.543,2,2026-08-03 09:14:37.683,2026-08-02 15:03:44.545,REVIEW,2,2026-08-03 06:14:37.684,2026-08-03 06:14:37.687,,
42,2,42,2026-08-02 15:03:45.143,2,2026-08-03 09:14:42.901,2026-08-02 15:03:45.146,REVIEW,2,2026-08-03 06:14:42.901,2026-08-03 06:14:42.904,,
44,2,48,2026-08-02 15:03:45.519,2,2026-08-03 09:14:53.748,2026-08-02 15:03:45.522,REVIEW,2,2026-08-03 06:14:53.748,2026-08-03 06:14:53.751,,
43,2,45,2026-08-02 15:03:45.326,2,2026-08-03 09:14:54.558,2026-08-02 15:03:45.329,REVIEW,2,2026-08-03 06:14:54.558,2026-08-03 06:14:54.562,,
45,2,51,2026-08-02 15:03:45.718,2,2026-08-03 09:14:55.832,2026-08-02 15:03:45.72,REVIEW,2,2026-08-03 06:14:55.832,2026-08-03 06:14:55.835,,
46,2,60,2026-08-02 15:03:45.899,2,2026-08-03 09:14:56.816,2026-08-02 15:03:45.901,REVIEW,2,2026-08-03 06:14:56.816,2026-08-03 06:14:56.819,,
34,2,16,2026-08-02 15:03:41.832,5,2026-08-11 08:18:01.161,2026-08-02 15:03:41.835,REVIEW,5,2026-08-08 08:18:01.161,2026-08-08 08:18:01.163,,
52,2,15,2026-08-02 16:13:54.332,3,2026-08-08 18:19:07.686,2026-08-02 16:13:54.334,REVIEW,3,2026-08-08 08:19:07.687,2026-08-08 08:19:07.689,,
62,2,152,2026-08-11 12:58:04.283,1,2026-08-11 13:28:04.283,2026-08-11 12:58:04.284,LEARNING,1,2026-08-11 12:58:04.283,2026-08-11 12:58:04.284,,
63,2,150,2026-08-19 14:06:05.555,1,2026-08-19 14:36:05.555,2026-08-19 14:06:05.558,LEARNING,1,2026-08-19 14:06:05.555,2026-08-19 14:06:05.558,,
64,2,155,2026-08-19 14:17:50.972,1,2026-08-19 14:47:50.972,2026-08-19 14:17:50.973,LEARNING,1,2026-08-19 14:17:50.972,2026-08-19 14:17:50.973,,
65,2,156,2026-08-19 14:18:21.409,1,2026-08-19 14:48:21.409,2026-08-19 14:18:21.41,LEARNING,1,2026-08-19 14:18:21.409,2026-08-19 14:18:21.41,,
66,2,160,2026-08-19 14:27:03.028,1,2026-08-19 14:57:03.028,2026-08-19 14:27:03.029,LEARNING,1,2026-08-19 14:27:03.028,2026-08-19 14:27:03.029,,
47,2,65,2026-08-02 15:03:46.134,2,2026-08-19 17:27:13.465,2026-08-02 15:03:46.137,REVIEW,2,2026-08-19 14:27:13.469,2026-08-19 14:27:13.47,,
