id,group_id,question_number,question_text,correct_answer,explanation,display_order
160,94,160,Why does Ms. Glatt want a colleague to attend a meeting?,C,She explains that someone from the finance department is needed to clarify a few points about the budget.,3
161,94,161,"At 11:43 A.M., what does Ms. Glatt most likely mean when she writes, ""Sounds great""?",A,She is responding positively to Daniel Seidal's offer to attend the marketing meeting from 2:00 to 2:15.,4
162,95,162,What does Ms. McFarland mention about Mr. Wilkins?,A,,1
163,95,163,"The word ""convey"" in paragraph 1, line 5, is closest in meaning to",B,,2
164,95,164,Why does Ms. McFarland want to leave her current position?,D,,3
165,95,165,Why does Ms. McFarland mention her travels?,D,,4
166,96,166,What does Trexdale Supply make?,C,,1
167,96,167,What did Trexdale Supply do in a recent project?,A,,2
168,96,168,What method of communicating with Trexdale Supply is mentioned?,D,,3
169,97,169,What work experience would best qualify a candidate for the position?,A,,1
170,97,170,"According to the advertisement, what should people interested in applying do next?",C,,2
171,97,171,"In which of the positions marked [1], [2], [3], and [4] does the following sentence best belong? ""Many of the world's best-known brands rely on our product demonstrators to generate positive impressions of their products.""",B,,3
172,98,172,What is the purpose of the article?,B,,1
173,98,173,How much do the Gorman Pro Phone 4 wireless headphones cost?,C,,2
174,98,174,What does the Pro Phone 4 have in common with prior models?,D,,3
175,98,175,"In which of the positions marked [1], [2], [3], and [4] does the following sentence best belong? ""These upgrades do come at a cost.""",A,,4
176,99,176,What does Ms. Xi's request indicate about the company?,C,,1
177,99,177,"In the e-mail, the word ""regular"" in paragraph 1, line 6, is closest in meaning to",A,,2
178,99,178,Where did Mr. Arnold learn about the details of Ms. Xi's request?,B,,3
179,99,179,How does Mr. Arnold try to satisfy Ms. Xi's request?,D,,4
180,99,180,What does Mr. Arnold ask Ms. Xi to do?,C,,5
181,100,181,"In the e-mail, what is suggested about Mr. Merson?",A,,1
182,100,182,"In the review, what is indicated about Neptune's Voyage?",B,,2
183,100,183,What can be concluded about Ms. Hanshu?,B,,3
184,100,184,What does Mr. Weber find exciting about Neptune's Voyage?,D,,4
185,100,185,When will Neptune's Voyage be available?,D,,5
186,101,186,"According to the schedule, who is Ms. Jones?",C,,1
187,101,187,What is the purpose of the e-mail?,A,,2
188,101,188,When did Mr. Fabre most likely first listen to Wonder Ridge Radio?,C,,3
189,101,189,What does the job advertisement suggest applicants must have?,B,,4
190,101,190,What radio program will probably receive the most support from the programming assistant?,A,,5
191,102,191,What do the instructions indicate about records requests?,B,,1
192,102,192,"According to the e-mail, how does Mr. Brandenberg plan to use some public information?",B,,2
193,102,193,What does the sign indicate visitors must do before entering a building?,D,,3
194,102,194,What was Mr. Brandenberg expecting to receive?,A,,4
195,102,195,What room will Mr. Brandenberg most likely visit?,D,,5
196,103,196,What does the review mention about Mr. Eklund?,C,,1
197,103,197,Where most likely will Ms. Joshi meet Mr. Eklund?,A,,2
198,103,198,"According to the first e-mail, what is one reason Ms. Joshi will travel in April?",D,,3
199,103,199,What is the purpose of the second e-mail?,B,,4
200,103,200,What can be concluded about Mr. Eklund?,C,,5
202,105,2,,D,A man is conducting a training session in the conference room with colleagues,1
203,106,3,,C,Two colleagues are brainstorming ideas on a whiteboard nearby,1
204,107,4,,D,Several workers are assembling products on the factory floor in the background,1
205,108,5,,C,A team is celebrating a project success in the office currently,1
206,109,6,,D,A woman is answering phone calls at the reception desk,1
207,110,13,What should I do about the deadline?,A,Submit by Friday,1
208,111,14,How long will the meeting take?,B,45 minutes,1
209,112,15,Is the product available?,C,50 in stock,1
210,113,16,What's the cost of service?,C,$150 per month,1
211,114,17,Can you help with this task?,C,"Yes, immediately",1
212,115,18,When should I arrive for the interview?,D,15 minutes early,1
213,116,19,Do you have the report ready?,D,On your desk,1
214,117,20,How many people will attend?,A,25 participants,1
215,118,21,Where should I park my car?,B,Visitor lot,1
216,119,22,What's the dress code?,D,Business casual,1
217,120,23,Should I bring my laptop?,D,"Yes, for presentation",1
218,121,24,How do I access the building?,B,Main entrance with ID,1
219,122,25,What time does the store close?,D,9 PM weekdays,1
220,123,26,Is there a discount available?,A,10% off members,1
221,124,27,Can I reschedule the appointment?,D,"Yes, call to reschedule",1
222,125,28,What's included in the package?,C,Full service with support,1
223,126,29,How do I contact customer service?,B,Call 1-800-555-1234,1
224,127,30,Is the warranty still valid?,D,2 years remaining,1
225,128,31,What payment methods do you accept?,A,Credit cards and cash,1
226,129,32,Can I get a refund?,C,Within 30 days,1
227,130,33,How long is the warranty period?,D,One year from purchase,1
228,131,34,Do you offer installation service?,C,Free installation,1
229,132,35,Is the product eco-friendly?,B,Made from recycled materials,1
230,133,36,Can I track my order?,A,Online tracking available,1
231,134,37,What's the delivery time?,C,3-5 business days,1
232,135,32,What is the status of project deadline 0?,A,On track,1
233,135,33,What needs to be done for project deadline 0?,A,Finalize the report,2
234,135,34,Who is working on project deadline 0?,B,The team,3
235,136,35,What is the status of client meeting 1?,A,On track,1
236,136,36,What needs to be done for client meeting 1?,C,Finalize the report,2
237,136,37,Who is working on client meeting 1?,C,The team,3
238,137,38,What is the status of team collaboration 2?,A,On track,1
239,137,39,What needs to be done for team collaboration 2?,D,Finalize the report,2
240,137,40,Who is working on team collaboration 2?,D,The team,3
241,138,41,What is the status of budget approval 3?,D,On track,1
242,138,42,What needs to be done for budget approval 3?,D,Finalize the report,2
243,138,43,Who is working on budget approval 3?,B,The team,3
244,139,44,What is the status of product launch 4?,D,On track,1
245,139,45,What needs to be done for product launch 4?,C,Finalize the report,2
246,139,46,Who is working on product launch 4?,D,The team,3
247,140,47,What is the status of project deadline 5?,A,On track,1
248,140,48,What needs to be done for project deadline 5?,C,Finalize the report,2
249,140,49,Who is working on project deadline 5?,B,The team,3
250,141,50,What is the status of client meeting 6?,A,On track,1
251,141,51,What needs to be done for client meeting 6?,C,Finalize the report,2
252,141,52,Who is working on client meeting 6?,C,The team,3
253,142,53,What is the status of team collaboration 7?,D,On track,1
254,142,54,What needs to be done for team collaboration 7?,A,Finalize the report,2
255,142,55,Who is working on team collaboration 7?,B,The team,3
256,143,56,What is the status of budget approval 8?,B,On track,1
257,143,57,What needs to be done for budget approval 8?,A,Finalize the report,2
258,143,58,Who is working on budget approval 8?,B,The team,3
259,144,59,What is the status of product launch 9?,D,On track,1
260,144,60,What needs to be done for product launch 9?,B,Finalize the report,2
261,144,61,Who is working on product launch 9?,D,The team,3
262,145,62,What is the status of project deadline 10?,B,On track,1
263,145,63,What needs to be done for project deadline 10?,D,Finalize the report,2
264,145,64,Who is working on project deadline 10?,A,The team,3
265,146,65,What is the status of client meeting 11?,C,On track,1
266,146,66,What needs to be done for client meeting 11?,D,Finalize the report,2
267,146,67,Who is working on client meeting 11?,D,The team,3
268,147,68,What is the status of team collaboration 12?,D,On track,1
269,147,69,What needs to be done for team collaboration 12?,A,Finalize the report,2
270,147,70,Who is working on team collaboration 12?,A,The team,3
271,148,71,What type of announcement 0?,A,flight departure,1
272,148,72,Which gate for flight 0?,A,Gate 1,2
273,148,73,What should passengers do 0?,A,Proceed to gate,3
274,149,74,What type of announcement 1?,B,weather alert,1
275,149,75,Which gate for flight 1?,C,Gate 2,2
276,149,76,What should passengers do 1?,B,Proceed to gate,3
277,150,77,What type of announcement 2?,D,facility update,1
278,150,78,Which gate for flight 2?,B,Gate 3,2
279,150,79,What should passengers do 2?,A,Proceed to gate,3
280,151,80,What type of announcement 3?,C,service change,1
281,151,81,Which gate for flight 3?,A,Gate 4,2
282,151,82,What should passengers do 3?,B,Proceed to gate,3
283,152,83,What type of announcement 4?,C,safety notice,1
284,152,84,Which gate for flight 4?,A,Gate 5,2
285,152,85,What should passengers do 4?,A,Proceed to gate,3
286,153,86,What type of announcement 5?,A,flight departure,1
287,153,87,Which gate for flight 5?,C,Gate 6,2
288,153,88,What should passengers do 5?,C,Proceed to gate,3
289,154,89,What type of announcement 6?,D,weather alert,1
290,154,90,Which gate for flight 6?,A,Gate 7,2
291,154,91,What should passengers do 6?,A,Proceed to gate,3
292,155,92,What type of announcement 7?,A,facility update,1
293,155,93,Which gate for flight 7?,A,Gate 8,2
294,155,94,What should passengers do 7?,A,Proceed to gate,3
295,156,95,What type of announcement 8?,A,service change,1
296,156,96,Which gate for flight 8?,B,Gate 9,2
297,156,97,What should passengers do 8?,D,Proceed to gate,3
298,157,98,What type of announcement 9?,D,safety notice,1
299,157,99,Which gate for flight 9?,D,Gate 10,2
300,157,100,What should passengers do 9?,B,Proceed to gate,3
301,158,101,The business meeting 0 requires proper prepositions usage.,D,prepositions,1
302,159,102,The project timeline 1 requires proper verb tenses usage.,C,verb tenses,1
303,160,103,The team collaboration 2 requires proper articles usage.,C,articles,1
304,161,104,The budget allocation 3 requires proper pronouns usage.,D,pronouns,1
305,162,105,The resource management 4 requires proper conjunctions usage.,B,conjunctions,1
306,163,106,The business meeting 5 requires proper prepositions usage.,C,prepositions,1
307,164,107,The project timeline 6 requires proper verb tenses usage.,D,verb tenses,1
308,165,108,The team collaboration 7 requires proper articles usage.,C,articles,1
309,166,109,The budget allocation 8 requires proper pronouns usage.,B,pronouns,1
310,167,110,The resource management 9 requires proper conjunctions usage.,B,conjunctions,1
311,168,111,The business meeting 10 requires proper prepositions usage.,D,prepositions,1
312,169,112,The project timeline 11 requires proper verb tenses usage.,D,verb tenses,1
313,170,113,The team collaboration 12 requires proper articles usage.,D,articles,1
314,171,114,The budget allocation 13 requires proper pronouns usage.,A,pronouns,1
315,172,115,The resource management 14 requires proper conjunctions usage.,D,conjunctions,1
316,173,116,The business meeting 15 requires proper prepositions usage.,D,prepositions,1
317,174,117,The project timeline 16 requires proper verb tenses usage.,B,verb tenses,1
318,175,118,The team collaboration 17 requires proper articles usage.,A,articles,1
319,176,119,The budget allocation 18 requires proper pronouns usage.,C,pronouns,1
320,177,120,The resource management 19 requires proper conjunctions usage.,B,conjunctions,1
321,178,121,The business meeting 20 requires proper prepositions usage.,D,prepositions,1
322,179,122,The project timeline 21 requires proper verb tenses usage.,A,verb tenses,1
323,180,123,The team collaboration 22 requires proper articles usage.,D,articles,1
324,181,124,The budget allocation 23 requires proper pronouns usage.,B,pronouns,1
325,182,125,The resource management 24 requires proper conjunctions usage.,A,conjunctions,1
326,183,126,The business meeting 25 requires proper prepositions usage.,A,prepositions,1
327,184,127,The project timeline 26 requires proper verb tenses usage.,C,verb tenses,1
328,185,128,The team collaboration 27 requires proper articles usage.,A,articles,1
329,186,129,The budget allocation 28 requires proper pronouns usage.,A,pronouns,1
330,187,130,The resource management 29 requires proper conjunctions usage.,D,conjunctions,1
331,188,131,Blank 1 in email 0,A,concerns,1
332,188,132,Blank 2 in email 0,D,review,2
333,188,133,Blank 3 in email 0,C,respond,3
334,188,134,Blank 4 in email 0,D,accordingly,4
335,189,135,Blank 1 in memo 1,B,concerns,1
336,189,136,Blank 2 in memo 1,D,review,2
337,189,137,Blank 3 in memo 1,A,respond,3
338,189,138,Blank 4 in memo 1,C,accordingly,4
339,190,139,Blank 1 in notice 2,C,concerns,1
340,190,140,Blank 2 in notice 2,A,review,2
341,190,141,Blank 3 in notice 2,B,respond,3
342,190,142,Blank 4 in notice 2,D,accordingly,4
343,191,143,Blank 1 in training 3,A,concerns,1
344,191,144,Blank 2 in training 3,B,review,2
345,191,145,Blank 3 in training 3,D,respond,3
346,191,146,Blank 4 in training 3,B,accordingly,4
347,192,147,What is this email about?,B,The regarding the project deadline,1
348,192,148,Who sent this email?,D,Company Name,2
349,192,149,What should the reader do?,A,Read carefully,3
350,192,150,What is this email about?,C,The regarding the project deadline,4
351,193,151,What is this notice about?,C,The about the client meeting,1
352,193,152,Who sent this notice?,A,Company Name,2
353,193,153,What should the reader do?,B,Read carefully,3
354,194,154,What is this advertisement about?,B,The concerning the budget approval,1
355,194,155,Who sent this advertisement?,D,Company Name,2
356,194,156,What should the reader do?,C,Read carefully,3
357,194,157,What is this advertisement about?,C,The concerning the budget approval,4
358,195,158,What is this schedule about?,D,The regarding the schedule change,1
359,195,159,Who sent this schedule?,A,Company Name,2
360,195,160,What should the reader do?,A,Read carefully,3
361,196,161,What is this invoice about?,C,The about the contract renewal,1
362,196,162,Who sent this invoice?,D,Company Name,2
363,196,163,What should the reader do?,B,Read carefully,3
364,196,164,What is this invoice about?,C,The about the contract renewal,4
365,197,165,What is this email about?,B,The regarding the product launch,1
366,197,166,Who sent this email?,A,Company Name,2
367,197,167,What should the reader do?,A,Read carefully,3
368,198,168,What is this notice about?,A,The about the team training,1
369,198,169,Who sent this notice?,C,Company Name,2
370,198,170,What should the reader do?,C,Read carefully,3
371,198,171,What is this notice about?,A,The about the team training,4
372,199,172,What is this advertisement about?,B,The concerning the security update,1
373,199,173,Who sent this advertisement?,A,Company Name,2
374,199,174,What should the reader do?,A,Read carefully,3
375,200,175,What is this schedule about?,A,The regarding the system upgrade,1
376,200,176,Who sent this schedule?,C,Company Name,2
377,200,177,What should the reader do?,A,Read carefully,3
378,200,178,What is this schedule about?,A,The regarding the system upgrade,4
379,201,179,What is this invoice about?,C,The about the policy change,1
380,201,180,Who sent this invoice?,B,Company Name,2
381,201,181,What should the reader do?,C,Read carefully,3
382,202,182,What is this email about?,A,The regarding the office relocation,1
383,202,183,Who sent this email?,A,Company Name,2
384,202,184,What should the reader do?,C,Read carefully,3
385,202,185,What is this email about?,C,The regarding the office relocation,4
386,203,186,What is this notice about?,D,The about the holiday schedule,1
387,203,187,Who sent this notice?,C,Company Name,2
388,203,188,What should the reader do?,B,Read carefully,3
389,204,189,What is this advertisement about?,B,The concerning the salary review,1
390,204,190,Who sent this advertisement?,B,Company Name,2
391,204,191,What should the reader do?,A,Read carefully,3
392,204,192,What is this advertisement about?,B,The concerning the salary review,4
393,205,193,What is this schedule about?,B,The regarding the new procedure,1
394,205,194,Who sent this schedule?,A,Company Name,2
395,205,195,What should the reader do?,B,Read carefully,3
396,205,196,What is this schedule about?,A,The regarding the new procedure,4
397,206,197,What is this invoice about?,C,The about the equipment order,1
398,206,198,Who sent this invoice?,A,Company Name,2
399,206,199,What should the reader do?,D,Read carefully,3
400,206,200,What is this invoice about?,C,The about the equipment order,4
401,207,1,,A,A man is loading packages onto a delivery truck with colleagues,1
402,208,2,,A,Two people are examining merchandise in a retail store nearby,1
403,209,3,,D,Several customers are waiting in line at a bank in the background,1
404,210,4,,D,A chef is preparing food in a restaurant kitchen currently,1
405,211,5,,B,A woman is teaching a class in a school classroom,1
406,212,6,,A,A man is repairing equipment in a workshop with colleagues,1
407,213,13,Do you offer technical support?,B,24/7 phone support,1
408,214,14,Is the product compatible with Mac?,D,Fully compatible,1
409,215,15,Can I upgrade my plan later?,A,Anytime upgrade,1
410,216,16,What's the battery life?,A,Up to 12 hours,1
411,217,17,Is there a free trial?,C,14-day free trial,1
412,218,18,Do you ship internationally?,D,Worldwide shipping,1
413,219,19,What's the weight limit?,A,50 pounds maximum,1
414,220,20,Can I customize the product?,D,Full customization,1
415,221,21,Is the product waterproof?,C,Fully waterproof,1
416,222,22,What's the minimum order quantity?,A,No minimum,1
417,223,23,Do you offer bulk discounts?,B,For orders over 50,1
418,224,24,Can I pay in installments?,D,12-month financing,1
419,225,25,What's the cancellation policy?,D,Cancel anytime with notice,1
420,226,26,Is the product organic?,D,Certified organic,1
421,227,27,Do you have a physical store?,B,Multiple locations,1
422,228,28,What's the storage capacity?,D,1TB storage,1
423,229,29,Can I share my subscription?,A,Family sharing,1
424,230,30,Is the product vegan?,D,100% vegan,1
425,231,31,What's the temperature range?,B,-20 to 50 degrees,1
426,232,32,Do you offer gift wrapping?,B,Free gift wrapping,1
427,233,33,Can I pick up in store?,C,Same-day pickup,1
428,234,34,What's the shelf life?,D,1 year from manufacture,1
429,235,35,Is the product gluten-free?,B,Certified gluten-free,1
430,236,36,Do you offer price matching?,A,Price match guarantee,1
431,237,37,What's the resolution?,D,4K Ultra HD,1
432,238,32,What is the status of budget approval 13?,B,On track,1
433,238,33,What needs to be done for budget approval 13?,B,Finalize the report,2
434,238,34,Who is working on budget approval 13?,A,The team,3
435,239,35,What is the status of product launch 14?,C,On track,1
436,239,36,What needs to be done for product launch 14?,A,Finalize the report,2
437,239,37,Who is working on product launch 14?,C,The team,3
438,240,38,What is the status of project deadline 15?,C,On track,1
439,240,39,What needs to be done for project deadline 15?,A,Finalize the report,2
440,240,40,Who is working on project deadline 15?,A,The team,3
441,241,41,What is the status of client meeting 16?,A,On track,1
442,241,42,What needs to be done for client meeting 16?,C,Finalize the report,2
443,241,43,Who is working on client meeting 16?,B,The team,3
444,242,44,What is the status of team collaboration 17?,D,On track,1
445,242,45,What needs to be done for team collaboration 17?,B,Finalize the report,2
446,242,46,Who is working on team collaboration 17?,B,The team,3
447,243,47,What is the status of budget approval 18?,D,On track,1
448,243,48,What needs to be done for budget approval 18?,C,Finalize the report,2
449,243,49,Who is working on budget approval 18?,D,The team,3
450,244,50,What is the status of product launch 19?,B,On track,1
451,244,51,What needs to be done for product launch 19?,D,Finalize the report,2
452,244,52,Who is working on product launch 19?,B,The team,3
453,245,53,What is the status of project deadline 20?,D,On track,1
454,245,54,What needs to be done for project deadline 20?,D,Finalize the report,2
455,245,55,Who is working on project deadline 20?,B,The team,3
456,246,56,What is the status of client meeting 21?,B,On track,1
457,246,57,What needs to be done for client meeting 21?,C,Finalize the report,2
458,246,58,Who is working on client meeting 21?,C,The team,3
459,247,59,What is the status of team collaboration 22?,B,On track,1
460,247,60,What needs to be done for team collaboration 22?,B,Finalize the report,2
461,247,61,Who is working on team collaboration 22?,A,The team,3
462,248,62,What is the status of budget approval 23?,C,On track,1
463,248,63,What needs to be done for budget approval 23?,A,Finalize the report,2
464,248,64,Who is working on budget approval 23?,A,The team,3
465,249,65,What is the status of product launch 24?,C,On track,1
466,249,66,What needs to be done for product launch 24?,A,Finalize the report,2
467,249,67,Who is working on product launch 24?,A,The team,3
468,250,68,What is the status of project deadline 25?,D,On track,1
469,250,69,What needs to be done for project deadline 25?,D,Finalize the report,2
470,250,70,Who is working on project deadline 25?,B,The team,3
471,251,71,What type of announcement 10?,C,flight departure,1
472,251,72,Which gate for flight 10?,B,Gate 11,2
473,251,73,What should passengers do 10?,D,Proceed to gate,3
474,252,74,What type of announcement 11?,C,weather alert,1
475,252,75,Which gate for flight 11?,D,Gate 12,2
476,252,76,What should passengers do 11?,A,Proceed to gate,3
477,253,77,What type of announcement 12?,A,facility update,1
478,253,78,Which gate for flight 12?,B,Gate 13,2
479,253,79,What should passengers do 12?,B,Proceed to gate,3
