id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,abruptly,adverb,đột ngột; bất ngờ,/əˈbrʌptli/,"Theo cách xảy ra nhanh và bất ngờ, thường không có cảnh báo.",The meeting ended abruptly when the fire alarm sounded.,Cuộc họp kết thúc đột ngột khi chuông báo cháy vang lên.,,,medium,B2,700,common,"suddenly, unexpectedly","gradually, smoothly",abrupt,"end abruptly, stop abruptly, change abruptly",,verb + abruptly,Không nhầm abruptly với immediately; abruptly nhấn mạnh tính bất ngờ/thiếu chuyển tiếp.,Thường dùng để mô tả sự thay đổi hoặc kết thúc.,Meetings / Safety,abrupt = sudden and sharp,contrast,abruptly = đột ngột,TRUE,3,,
,abscess,noun,áp-xe; ổ mủ,/ˈæbses/,Túi chứa mủ hình thành do nhiễm trùng trong mô.,The doctor treated the abscess with antibiotics.,Bác sĩ điều trị ổ áp-xe bằng thuốc kháng sinh.,,,hard,C1,800,uncommon,pus-filled swelling,,"abscess, abscessed","skin abscess, dental abscess, drain an abscess",,develop/have an abscess,"Abscess là ổ mủ, không chỉ đơn giản là swelling.",Thuật ngữ y tế.,Health,abscess = ổ chứa mủ.,visual,abscess = áp-xe,TRUE,4,,
,absence,noun,sự vắng mặt; sự thiếu vắng,/ˈæbsəns/,Tình trạng không có mặt hoặc không có một thứ cần thiết.,His absence from the meeting was unexpected.,Sự vắng mặt của anh ấy trong cuộc họp là điều bất ngờ.,,,medium,B2,700,extremely common,"nonattendance, lack, unavailability",presence,absent,"absence from work, absence of evidence, in the absence of",,absence of + noun; absence from + place/event,"Không nhầm absence với absent; absence là danh từ, absent là tính từ.",Absence of thường gặp trong Reading.,Office; General,absence = not being present,word_family,absence of = sự thiếu vắng,TRUE,3,,
,absence request,noun phrase,đơn yêu cầu nghỉ phép,/ˈæbsəns rɪˈkwest/,Yêu cầu chính thức xin nghỉ khỏi nơi làm việc.,Please submit an absence request before taking a day off.,Vui lòng gửi yêu cầu nghỉ trước khi nghỉ một ngày.,,,medium,B1,600,uncommon,"leave request, time-off request",,"absent, absence, request","absence request form, submit an absence request",,submit/make an absence request,,Leave request hoặc time-off request thường tự nhiên hơn trong nhiều công ty.,Jobs / Recruitment,absence = vắng mặt + request = yêu cầu,association,Absence request = yêu cầu xin vắng,FALSE,3,,
,absentee,noun,người vắng mặt,/ˌæbsənˈtiː/,Người không có mặt tại nơi đáng lẽ phải có mặt.,The manager contacted several absentees after the meeting.,Quản lý đã liên hệ với một số người vắng mặt sau cuộc họp.,,,medium,B2,700,uncommon,"absent person, nonattendee",attendee,"absent, absenteeism","absentee employee, absentee rate",,absentee + noun,Absentee là danh từ chỉ người; absent là tính từ.,Absenteeism thường dùng hơn khi nói về tình trạng vắng mặt của nhân viên.,Jobs / Office,absent → absentee,word_family,absentee = người vắng mặt,FALSE,3,,
,absenteeism,noun,tình trạng vắng mặt thường xuyên,/ˌæbsənˈtiːɪzəm/,Việc nhân viên thường xuyên không có mặt tại nơi làm việc.,High absenteeism can reduce productivity.,Tình trạng vắng mặt cao có thể làm giảm năng suất.,,,hard,C1,900,uncommon,"absence, nonattendance",attendance,"absent, absentee","employee absenteeism, workplace absenteeism",,absenteeism among + group,Không đơn giản là một lần absence; nó thường chỉ tình trạng vắng mặt thường xuyên.,HR/Workplace.,Workplace,absentee + ism = tình trạng thường xuyên vắng mặt.,word_parts,reduce absenteeism,FALSE,5,,
,absenteeism rate,noun phrase,tỷ lệ vắng mặt,/ˈæbsənˌtiːɪzəm reɪt/,Tỷ lệ thời gian hoặc số lần nhân viên vắng mặt ngoài kế hoạch.,The company monitors its absenteeism rate closely.,Công ty theo dõi chặt chẽ tỷ lệ vắng mặt.,,,medium,B2,750,common,absence rate,attendance rate,"absent, absenteeism","employee absenteeism rate, high absenteeism rate",be absent from,rate of + absenteeism,Không nhầm absenteeism với absence; absenteeism thường nói về tình trạng vắng mặt có tính hệ thống.,Thường dùng trong HR analytics.,HR / Business,absentee = person absent,word_family,absenteeism = tình trạng vắng mặt,TRUE,4,,
,absolute,adjective / noun,tuyệt đối; hoàn toàn,/ˈæbsəluːt/,"Hoàn toàn, không có giới hạn hoặc ngoại lệ.",The manager requires absolute confidentiality regarding the project.,Người quản lý yêu cầu bảo mật tuyệt đối về dự án.,,,medium,C1,800,common,complete; total; unconditional,relative; partial,absolutely,absolute confidence; absolute authority; absolute requirement,,absolute + noun; absolutely + adjective,Không nhầm absolute với complete trong mọi ngữ cảnh; absolute nhấn mạnh tính tuyệt đối/không ngoại lệ.,Hay gặp trong formal business English.,Business,"absolute = 100%, không ngoại lệ",association,absolute = hoàn toàn/tuyệt đối,TRUE,4,,
,absorb,verb,hấp thụ; tiếp thu; thu hút,/əbˈzɔːrb/,"Nhận và giữ chất lỏng, năng lượng, thông tin hoặc sự chú ý.",The training program helps employees absorb new information quickly.,Chương trình đào tạo giúp nhân viên tiếp thu thông tin mới nhanh chóng.,,,medium,B2,750,extremely common,"take in, assimilate, learn","release, emit","absorption, absorbent, absorbed","absorb information, absorb costs, absorb energy, absorb water",,absorb + noun,"Dễ nhầm absorb với adopt; absorb = tiếp thu, adopt = chấp nhận/áp dụng.","Có nhiều nghĩa trong TOEIC: tiếp thu thông tin, chịu/bao gồm chi phí, hấp thụ.",Training / Finance,absorb = như miếng bọt biển hút mọi thứ vào.,visual,Hình dung miếng bọt biển hút nước.,TRUE,3,,
,absorbent,adjective,có khả năng thấm hút,/əbˈzɔːrbənt/,Có khả năng hút và giữ chất lỏng.,This material is highly absorbent.,Vật liệu này có khả năng thấm hút cao.,,,medium,B2,750,uncommon,"porous, soaking, absorbent","nonabsorbent, waterproof","absorb, absorption, absorbency","absorbent material, absorbent paper, highly absorbent",absorb into,absorbent material,Không nhầm absorbent = có khả năng hút với absorbed = bị cuốn hút/đã hấp thụ.,"Ít phổ biến hơn absorb, nhưng hữu ích trong Product/Materials.",Products / Materials,absorb + ent = có khả năng hấp thụ.,word_family,absorbent paper = giấy thấm hút,FALSE,4,,
,abundant,adjective,dồi dào; phong phú,/əˈbʌndənt/,Có số lượng lớn hơn mức cần thiết hoặc rất nhiều.,The region has abundant natural resources.,Khu vực này có nguồn tài nguyên thiên nhiên dồi dào.,,,medium,B2,750,common,"plentiful, ample, plentiful","scarce, insufficient, limited","abundance, abundantly","abundant resources, abundant supply, abundant opportunities",,be abundant in + noun,Không nhầm abundant với abundance; adjective vs noun.,abundant in dùng để nói một nơi/vật có nhiều thứ gì đó.,Environment / Business,abundant = a bunch of things → rất nhiều.,wordplay,abundant = plentiful = dồi dào.,TRUE,3,,
,abusive behavior,noun,hành vi ngược đãi/lạm dụng,/əˈbjuːsɪv bɪˈheɪvjər/,Hành vi gây tổn hại hoặc đối xử không phù hợp với người khác.,The company has a strict policy against abusive behavior.,Công ty có chính sách nghiêm ngặt chống hành vi ngược đãi.,,,medium,C1,800,uncommon,harmful behavior,respectful behavior,"abuse, abusive","abusive behavior, abusive language",,behavior toward + someone,Không nhầm abusive với merely rude; abusive nghiêm trọng hơn.,Có thể dùng trong chính sách nơi làm việc và quy định ứng xử.,Jobs / Recruitment,abuse → abusive,word_family,Abusive = harmful treatment.,TRUE,4,,
,academic,adjective / noun,thuộc học thuật; học thuật; học giả,/ˌækəˈdemɪk/,"Liên quan đến giáo dục, học tập hoặc nghiên cứu.",The university offers excellent academic programs.,Trường đại học cung cấp các chương trình học thuật xuất sắc.,,,easy,B1,600,extremely common,"educational, scholarly","practical, nonacademic","academy, academically, academics","academic program, academic year, academic achievement",,academic + noun,"Academic thường chỉ lĩnh vực giáo dục/nghiên cứu, không nhất thiết chỉ “học thuật” theo nghĩa lý thuyết.",Phổ biến trong Education và hồ sơ tuyển dụng.,Education,academy → academic,word_family,academic = thuộc học tập/nghiên cứu,TRUE,2,,
,academic background,noun phrase,nền tảng học vấn,/ˌækəˈdemɪk ˈbækɡraʊnd/,"Trình độ, bằng cấp và quá trình học tập của một người.",Applicants should describe their academic background on the form.,Ứng viên nên mô tả nền tảng học vấn của mình trong biểu mẫu.,,,easy,B1,500,extremely common,"educational background, academic history",,"academy, academic","strong academic background, academic background in + field",,background in + field,"Không nhầm academic background với work history; một bên là học vấn, một bên là kinh nghiệm việc làm.",Cụm rất phổ biến trong applications.,Jobs / Education,academic = học thuật,contrast,Academic = học; work = làm.,TRUE,2,,
,accelerate,verb,tăng tốc; đẩy nhanh,/əkˈseləreɪt/,Làm cho một quá trình xảy ra nhanh hơn hoặc tốc độ tăng lên.,The new software will accelerate the data-processing process.,Phần mềm mới sẽ đẩy nhanh quá trình xử lý dữ liệu.,,,medium,B2,750,common,"speed up, hasten, expedite","slow, delay, decelerate","acceleration, accelerator","accelerate growth, accelerate development, accelerate the process",speed up,accelerate + noun; accelerate rapidly,Không nhầm accelerate với accelerator; cái sau là thiết bị/bộ phận tăng tốc.,Trong business thường mang nghĩa đẩy nhanh tiến độ.,Business / Technology,accelerate = nhấn ga → tốc độ tăng lên.,visual,Hình dung xe nhấn ga tăng tốc.,TRUE,3,,
,accelerated growth,noun phrase,tăng trưởng nhanh/được đẩy nhanh,/əkˈseləreɪtɪd ɡroʊθ/,Tốc độ tăng trưởng được thúc đẩy nhanh hơn bình thường.,The company achieved accelerated growth in Asia.,Công ty đạt mức tăng trưởng nhanh tại châu Á.,,,medium,C1,850,common,"rapid growth, fast growth",slow growth,"accelerate, accelerated, acceleration, grow","accelerated growth, accelerate growth",accelerate through,accelerate growth through acquisitions,Accelerated nhấn mạnh tốc độ được đẩy nhanh.,Không nhất thiết có nghĩa tăng trưởng bền vững.,Business / Strategy,accelerate = tăng tốc,metaphor,growth tăng tốc,TRUE,4,,
,accelerator,noun,bàn đạp ga,/əkˈseləreɪtə(r)/,Bàn đạp dùng để tăng tốc độ của xe.,Press the accelerator gently when entering the highway.,Nhấn nhẹ bàn đạp ga khi đi vào đường cao tốc.,,,medium,B2,750,common,gas pedal,brake,"accelerate, acceleration","accelerator pedal, press the accelerator, accelerator control",,press the accelerator,"Không nhầm accelerator với brake; accelerator tăng tốc, brake giảm tốc.",Gas pedal phổ biến trong Anh-Mỹ.,Transportation,accelerate = tăng tốc → accelerator = bàn đạp ga,contrast,accelerator = tăng tốc; brake = phanh,TRUE,3,,
,accept,verb,chấp nhận; nhận; đồng ý,/əkˈsept/,"Đồng ý nhận một thứ, đồng ý với một đề nghị hoặc công nhận điều gì đó.",We are pleased to accept your application.,Chúng tôi vui mừng chấp nhận đơn đăng ký của bạn.,,,easy,B1,500,extremely common,"receive, approve, agree to","reject, refuse, decline","acceptance, acceptable, unacceptable, acceptably","accept an offer, accept an application, accept responsibility",,accept + noun; accept that + clause,Dễ nhầm accept với except; except = ngoại trừ.,accept an offer và accept responsibility rất hay gặp.,Office / Communication,"accept = nhận, except = ngoại trừ.",wordplay,Accept = chấp nhận; Except = ngoại trừ.,TRUE,2,,
,acceptable,adjective,có thể chấp nhận được,/əkˈseptəbəl/,Đủ tốt hoặc phù hợp để được chấp nhận.,The revised proposal is acceptable to the client.,Đề xuất sửa đổi có thể chấp nhận được đối với khách hàng.,,,easy,B1,600,extremely common,"satisfactory, suitable, tolerable",unacceptable,"accept, acceptance, acceptably, unacceptable","acceptable quality, acceptable level, acceptable to",,acceptable to + person; acceptable for + purpose,"Không nhầm acceptable với accessible; acceptable = có thể chấp nhận, accessible = dễ tiếp cận.","Acceptable thường dùng để đánh giá chất lượng, điều kiện hoặc đề xuất.",Business; Customer Service,acceptable = good enough to accept,contrast,acceptable = chấp nhận được,TRUE,2,,
,acceptable use policy,noun,chính sách sử dụng được phép,/əkˈseptəbəl juːs ˈpɒləsi/,Chính sách quy định cách người dùng được phép sử dụng hệ thống và tài nguyên CNTT.,All employees must read the acceptable use policy before accessing the network.,Tất cả nhân viên phải đọc chính sách sử dụng được phép trước khi truy cập mạng.,,,hard,B2,750,common,AUP; acceptable use guidelines,,accept; acceptable; acceptance,acceptable use policy; network acceptable use policy; company AUP,,comply with an acceptable use policy,"Không hiểu acceptable là ""tốt nhất""; nghĩa là được chấp nhận/cho phép.",Thường viết tắt AUP.,Technology,acceptable use = sử dụng được phép,association,AUP = quy định cách dùng tài nguyên CNTT,TRUE,4,,
,acceptance,noun,sự chấp nhận; sự đồng ý,/əkˈseptəns/,Hành động đồng ý nhận hoặc chấp thuận một điều gì.,We received confirmation of the client's acceptance of the proposal.,Chúng tôi nhận được xác nhận rằng khách hàng đã chấp nhận đề xuất.,,,medium,B2,700,common,approval; agreement,rejection; refusal,accept; acceptable; acceptance,acceptance of an offer; acceptance letter; customer acceptance,,acceptance of + noun,"Acceptance thường nói về việc chính thức chấp nhận đề nghị, điều khoản hoặc kết quả.",Thường gặp trong Business và Contracts.,Business,accept → acceptance,word_family,acceptance = sự chấp nhận,TRUE,3,,
,acceptance speech,noun phrase,bài phát biểu nhận giải,/əkˈseptəns spiːtʃ/,a speech given by someone receiving an award or honor,She gave an emotional acceptance speech.,Cô ấy đã có một bài phát biểu nhận giải đầy xúc động.,,,medium,C1,800,medium,award speech,,"accept, acceptance",acceptance speech at an awards ceremony,,give an acceptance speech,Usually given after winning an award.,Common in award ceremonies.,Awards / Public Speaking,acceptance = receiving an award,situation association,Imagine a winner speaking on stage after receiving a trophy.,TRUE,4,,
,acceptance test,noun,kiểm thử chấp nhận,/əkˈseptəns test/,Kiểm thử để xác định sản phẩm hoặc hệ thống có đáp ứng yêu cầu trước khi được chấp nhận hay không.,The client completed the acceptance test before signing the contract.,Khách hàng hoàn tất kiểm thử chấp nhận trước khi ký hợp đồng.,,,hard,C1,800,common,acceptance testing,,"accept, acceptance, test","user acceptance test, acceptance test criteria",,conduct/pass an acceptance test,Không nhầm với unit test hoặc integration test.,Thường diễn ra gần cuối quy trình phát triển.,Technology,acceptance = chấp nhận → test để chấp nhận,association,Acceptance test = kiểm thử trước khi chấp nhận sản phẩm.,TRUE,4,,
,acceptance testing,noun,kiểm thử chấp nhận,/əkˈseptəns ˈtestɪŋ/,Kiểm thử để xác định hệ thống có đáp ứng yêu cầu trước khi được chấp nhận hay không.,The client will conduct acceptance testing before approving the system.,Khách hàng sẽ tiến hành kiểm thử chấp nhận trước khi phê duyệt hệ thống.,,,hard,C1,800,uncommon,user acceptance testing,,"accept, acceptance","user acceptance testing, acceptance test criteria",,acceptance testing of + noun,Không đồng nhất với unit testing hoặc integration testing.,Thường dùng trong dự án phần mềm.,Technology,acceptance = chấp nhận,word_family,Test để khách hàng chấp nhận.,TRUE,4,,
,access,noun / verb,quyền truy cập; truy cập; tiếp cận,/ˈækses/,"Quyền hoặc khả năng sử dụng, vào hoặc lấy thông tin từ một nơi/hệ thống.",Employees need access to the company's database.,Nhân viên cần quyền truy cập vào cơ sở dữ liệu của công ty.,,,easy,B1,600,extremely common,"entry, admission, approach","denial, restriction, exclusion","accessible, inaccessible, accessibility","access to information, access a database, have access to",,access + noun; access to + noun,"Không dùng access to sau động từ access; nói access the system, không phải access to the system.","Khi là động từ, access thường không cần to.",Technology / Office,access = có lối vào → có quyền truy cập.,visual,Hình dung một cánh cửa có thẻ access.,TRUE,2,,
,access authorization,noun phrase,quyền/giấy phép truy cập,/ˈækses ˌɔːθərəˈzeɪʃən/,"Sự cho phép một người truy cập hệ thống, khu vực hoặc dữ liệu.",Access authorization is required to enter the restricted area.,Cần có quyền truy cập để vào khu vực hạn chế.,,,hard,C1,800,uncommon,access permission,access restriction,"authorize, authorization, authorized","access authorization, authorization request",,authorization to + verb,Authorization là danh từ của authorize.,Thường dùng trong bảo mật và quản lý tòa nhà.,Technology; Safety,authorize = cho phép,word_family,authorization = sự cho phép,TRUE,4,,
,access badge,noun,thẻ ra vào,/ˈækses bædʒ/,Thẻ dùng để xác thực quyền ra vào một khu vực.,Employees must wear their access badges at all times.,Nhân viên phải đeo thẻ ra vào mọi lúc.,,,medium,B1,600,common,access card,,"access, accessible",access badge; employee access badge,access,badge + access to + place,Không nhầm badge với ID card; access badge nhấn mạnh quyền ra vào.,Thường dùng trong văn phòng và tòa nhà.,Office,badge = thẻ; access = quyền vào,association,Access badge = thẻ ra vào,TRUE,3,,
,access card,noun phrase,thẻ ra vào,/ˈækses kɑːrd/,Thẻ dùng để mở cửa hoặc truy cập các khu vực được kiểm soát.,Employees must use an access card to enter the building.,Nhân viên phải dùng thẻ ra vào để vào tòa nhà.,,,medium,B2,650,extremely common,"access badge, entry card, ID card",,"access, accessible","access card system, employee access card",swipe in,swipe in with an access card,Access có thể là noun hoặc verb.,Access card thường dùng với security system.,Security / Workplace,access = enter,association,card that gives access,TRUE,3,,
,access code,noun,mã truy cập,/ˈækses koʊd/,"Mã dùng để truy cập hệ thống, tài khoản hoặc khu vực được bảo vệ.",Please enter your access code to open the secure account.,Vui lòng nhập mã truy cập để mở tài khoản bảo mật.,,,easy,B1,500,extremely common,"access key, security code",,"access, accessible, code","access code, security access code, enter an access code",log in,access code for + system/account,Không nhầm access code với password; access code có thể là mã dùng một lần hoặc mã đặc biệt.,Rất thường gặp trong email và hệ thống doanh nghiệp.,Technology,access = truy cập + code = mã,wordplay,access code = mã để truy cập,TRUE,2,,
,access control,noun phrase,kiểm soát quyền truy cập,/ˈækses kənˌtrəʊl/,Hệ thống hoặc quy trình kiểm soát ai được phép truy cập tài nguyên.,The building uses access control to protect sensitive areas.,Tòa nhà sử dụng hệ thống kiểm soát truy cập để bảo vệ khu vực nhạy cảm.,,,medium,B2,700,common,access management,unrestricted access,"access, accessible","access control system, access control policy",log in,access control for + resource,Access vừa là danh từ vừa là động từ; không dùng accesses với nghĩa danh từ.,Rất phổ biến trong IT và an ninh văn phòng.,Technology,control who can access,association,access control = kiểm soát ai được truy cập,TRUE,3,,
