id,group_id,question_number,question_text,explanation,display_order,created_at,updated_at,knowledge
16,16,16,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q16.jpg,16,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
17,17,17,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q17.jpg,17,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
18,18,18,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q18.jpg,18,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
19,19,19,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q19.jpg,19,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
20,20,20,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q20.jpg,20,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
21,21,21,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q21.jpg,21,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
22,22,22,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q22.jpg,22,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
23,23,23,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q23.jpg,23,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
24,24,24,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q24.jpg,24,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
25,25,25,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q25.jpg,25,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
26,26,26,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q26.jpg,26,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
27,27,27,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q27.jpg,27,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
28,28,28,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q28.jpg,28,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
29,29,29,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q29.jpg,29,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
30,30,30,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q30.jpg,30,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
31,31,31,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q31.jpg,31,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
32,32,32,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q32.jpg,32,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
33,33,33,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q33.jpg,33,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
34,34,34,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q34.jpg,34,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
35,35,35,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q35.jpg,35,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
36,36,36,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q36.jpg,36,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
37,37,37,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q37.jpg,37,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
38,38,38,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q38.jpg,38,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
39,39,39,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q39.jpg,39,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
40,40,40,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q40.jpg,40,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
41,41,41,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q41.jpg,41,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
42,42,42,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q42.jpg,42,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
43,43,43,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q43.jpg,43,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
44,44,44,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q44.jpg,44,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
45,45,45,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q45.jpg,45,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
46,46,46,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q46.jpg,46,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
47,47,47,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q47.jpg,47,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
48,48,48,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q48.jpg,48,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
49,49,49,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q49.jpg,49,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
50,50,50,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q50.jpg,50,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
51,51,51,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q51.jpg,51,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
52,52,52,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q52.jpg,52,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
53,53,53,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q53.jpg,53,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
54,54,54,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q54.jpg,54,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
55,55,55,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q55.jpg,55,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
56,56,56,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q56.jpg,56,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
57,57,57,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q57.jpg,57,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
58,58,58,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q58.jpg,58,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
59,59,59,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q59.jpg,59,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
60,60,60,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q60.jpg,60,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
61,61,61,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q61.jpg,61,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
62,62,62,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q62.jpg,62,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
63,63,63,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q63.jpg,63,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
64,64,64,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q64.jpg,64,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
65,65,65,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q65.jpg,65,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
66,66,66,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q66.jpg,66,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
67,67,67,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q67.jpg,67,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
68,68,68,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q68.jpg,68,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
69,69,69,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q69.jpg,69,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
70,70,70,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q70.jpg,70,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
71,71,71,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q71.jpg,71,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
72,72,72,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q72.jpg,72,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
73,73,73,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q73.jpg,73,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
74,74,74,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q74.jpg,74,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
75,75,75,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q75.jpg,75,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
76,76,76,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q76.jpg,76,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
77,77,77,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q77.jpg,77,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
78,78,78,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q78.jpg,78,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
79,79,79,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q79.jpg,79,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
80,80,80,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q80.jpg,80,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
81,81,81,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q81.jpg,81,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
82,82,82,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q82.jpg,82,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
83,83,83,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q83.jpg,83,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
84,84,84,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q84.jpg,84,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
85,85,85,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q85.jpg,85,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
86,86,86,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q86.jpg,86,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
87,87,87,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q87.jpg,87,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
88,88,88,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q88.jpg,88,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
89,89,89,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q89.jpg,89,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
90,90,90,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q90.jpg,90,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
91,91,91,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q91.jpg,91,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
92,92,92,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q92.jpg,92,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
93,93,93,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q93.jpg,93,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
94,94,94,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q94.jpg,94,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
95,95,95,Look at the picture and listen to the four statements.,Correct answer: A. Image: /listening/part1/images/q95.jpg,95,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
96,96,96,Look at the picture and listen to the four statements.,Correct answer: B. Image: /listening/part1/images/q96.jpg,96,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
97,97,97,Look at the picture and listen to the four statements.,Correct answer: D. Image: /listening/part1/images/q97.jpg,97,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
98,98,98,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q98.jpg,98,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
99,99,99,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q99.jpg,99,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
100,100,100,Look at the picture and listen to the four statements.,Correct answer: C. Image: /listening/part1/images/q100.jpg,100,2026-08-09 17:24:00.807443,2026-08-09 17:24:00.807443,
201,201,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare printer paper for the office supplies.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
202,201,2,Where will Daniel get the item?,Daniel says that the item will be obtained from the storage room.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
203,201,3,When should everything be ready?,Maya says the items should be ready by this afternoon.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
204,202,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the sales meeting for the meeting schedule.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
205,202,2,Where will Brian get the item?,Brian says that the item will be obtained from Room 204.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
206,202,3,When should everything be ready?,Anna says the items should be ready by tomorrow morning.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
207,203,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a hotel room for the business trip.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
208,203,2,Where will Kevin get the item?,Kevin says that the item will be obtained from the downtown hotel.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
209,203,3,When should everything be ready?,Laura says the items should be ready by Friday evening.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
210,204,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a dinner reservation for the restaurant reservation.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
211,204,2,Where will Mark get the item?,Mark says that the item will be obtained from the Italian restaurant.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
212,204,3,When should everything be ready?,Emily says the items should be ready by seven o'clock.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
213,205,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare train tickets for the train travel.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
214,205,2,Where will James get the item?,James says that the item will be obtained from the station.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
215,205,3,When should everything be ready?,Sarah says the items should be ready by Saturday morning.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
216,206,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare conference registration for the conference.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
217,206,2,Where will Robert get the item?,Robert says that the item will be obtained from the convention center.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
218,206,3,When should everything be ready?,Linda says the items should be ready by next Monday.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
219,207,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a replacement order for the customer order.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
220,207,2,Where will Michael get the item?,Michael says that the item will be obtained from the customer service desk.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
221,207,3,When should everything be ready?,Jessica says the items should be ready by next week.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
222,208,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the project report for the project deadline.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
223,208,2,Where will David get the item?,David says that the item will be obtained from the design office.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
224,208,3,When should everything be ready?,Rachel says the items should be ready by Friday.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
225,209,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the office computer for the equipment repair.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
226,209,2,Where will Thomas get the item?,Thomas says that the item will be obtained from the IT department.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
227,209,3,When should everything be ready?,Olivia says the items should be ready by this afternoon.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
228,210,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a taxi for the airport plans.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
229,210,2,Where will Daniel get the item?,Daniel says that the item will be obtained from the airport.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
230,210,3,When should everything be ready?,Sophie says the items should be ready by six thirty.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
231,211,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare printer paper for the office supplies.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
232,211,2,Where will Daniel get the item?,Daniel says that the item will be obtained from the storage room.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
233,211,3,When should everything be ready?,Maya says the items should be ready by this afternoon.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
234,212,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the sales meeting for the meeting schedule.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
235,212,2,Where will Brian get the item?,Brian says that the item will be obtained from Room 204.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
236,212,3,When should everything be ready?,Anna says the items should be ready by tomorrow morning.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
237,213,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a hotel room for the business trip.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
238,213,2,Where will Kevin get the item?,Kevin says that the item will be obtained from the downtown hotel.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
239,213,3,When should everything be ready?,Laura says the items should be ready by Friday evening.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
240,214,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a dinner reservation for the restaurant reservation.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
241,214,2,Where will Mark get the item?,Mark says that the item will be obtained from the Italian restaurant.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
242,214,3,When should everything be ready?,Emily says the items should be ready by seven o'clock.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
243,215,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare train tickets for the train travel.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
244,215,2,Where will James get the item?,James says that the item will be obtained from the station.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
245,215,3,When should everything be ready?,Sarah says the items should be ready by Saturday morning.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
246,216,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare conference registration for the conference.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
247,216,2,Where will Robert get the item?,Robert says that the item will be obtained from the convention center.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
248,216,3,When should everything be ready?,Linda says the items should be ready by next Monday.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
249,217,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a replacement order for the customer order.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
250,217,2,Where will Michael get the item?,Michael says that the item will be obtained from the customer service desk.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
251,217,3,When should everything be ready?,Jessica says the items should be ready by next week.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
252,218,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the project report for the project deadline.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
253,218,2,Where will David get the item?,David says that the item will be obtained from the design office.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
254,218,3,When should everything be ready?,Rachel says the items should be ready by Friday.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
255,219,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare the office computer for the equipment repair.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
256,219,2,Where will Thomas get the item?,Thomas says that the item will be obtained from the IT department.,2,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
257,219,3,When should everything be ready?,Olivia says the items should be ready by this afternoon.,3,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
258,220,1,What are the speakers mainly discussing?,The speakers are discussing how to prepare a taxi for the airport plans.,1,2026-08-09 21:13:23.227169,2026-08-09 21:13:23.227169,
101,101,1,When will the new computers arrive?,Correct answer: B. On Wednesday afternoon.,1,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
102,102,2,Who is going to lead the meeting?,Correct answer: A. Ms. Carter is.,2,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
103,103,3,Where should I put these documents?,Correct answer: C. On the desk by the window.,3,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
104,104,4,Why was the meeting postponed?,Correct answer: A. Because the manager was ill.,4,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
105,105,5,How many people are attending the conference?,Correct answer: B. About fifty people.,5,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
106,106,6,Did you send the invoice to the client?,"Correct answer: A. Yes, I sent it yesterday.",6,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
107,107,7,What time does the train leave?,Correct answer: C. At 8:45.,7,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
108,108,8,Could you help me move this table?,"Correct answer: A. Sure, give me a minute.",8,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
109,109,9,Why don't we order lunch now?,Correct answer: B. Good idea. I'm getting hungry.,9,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
110,110,10,Where did you buy that printer?,Correct answer: C. At the electronics store.,10,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
111,111,11,Who ordered the extra chairs?,Correct answer: A. The office manager did.,11,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
112,112,12,How long will the repairs take?,Correct answer: B. Probably two or three days.,12,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
113,113,13,Would you like coffee or tea?,"Correct answer: C. Tea, please.",13,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
114,114,14,When should we submit the report?,Correct answer: A. By Friday afternoon.,14,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
115,115,15,Have you seen my keys?,Correct answer: B. They're on the kitchen counter.,15,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
116,116,16,Why are you leaving the office early?,Correct answer: B. I have a doctor's appointment.,16,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
117,117,17,Where can I find the sales department?,Correct answer: A. On the fourth floor.,17,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
118,118,18,Did Sarah reserve a table for us?,"Correct answer: B. Yes, for seven o'clock.",18,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
119,119,19,What are you doing after work?,Correct answer: A. I'm going to the gym.,19,2026-08-09 20:15:34.476221,2026-08-09 20:15:34.476221,
